variant,method,tensor_mode,geom_mode,wall_time_mean_sec,estimated_peak_memory_mb,active_coverage_ratio
A,ref7,active,linear,0.30858198716305196,15.281158447265625,1.0
A,ref9,active,linear,0.38679024763405323,15.363983154296875,1.0
A,BP,active,linear,1.0714979458134621,16.275054931640625,1.0
B,ref7,active,sinc,0.31281563616357744,16.550987243652344,1.0
B,ref9,active,sinc,0.37716344204576063,16.633811950683594,1.0
B,BP,active,sinc,1.068141868027548,17.544883728027344,1.0
C,ref7,dense_global,linear,36.73702625747925,1552.8928298950195,0.009840446264600679
C,ref9,dense_global,linear,44.53474561870098,1561.3095932006836,0.009840446264600679
C,BP,dense_global,linear,166.09481927201463,1653.8939895629883,0.009840446264600679
D,ref7,dense_global,sinc,39.67918753794705,1683.3526611328125,0.009840446264600679
D,ref9,dense_global,sinc,48.59923692113565,1691.7694244384766,0.009840446264600679
D,BP,dense_global,sinc,165.42696997779422,1784.3538208007812,0.009840446264600679
