family,method,nmse_mean,psnr_mean,ssim_mean,wall_time_mean_sec,speedup_vs_bp,num_samples
L-shape,ref3,3.3243850019688863,23.58883861125389,0.18415931677260383,0.40289332178654147,5.069916011174399,20
L-shape,ref5,2.1915360306297296,25.149660779186505,0.2792219534891641,0.52151710530743,3.9167177492993437,20
L-shape,ref7,2.010175481447352,25.498518797174995,0.29940700806705167,0.6402762085199356,3.190240830035818,20
L-shape,ref9,2.041750009420249,25.462964940544374,0.3044352019747139,0.7569438768783584,2.6985293960559766,20
L-shape,BP,1.9466698601274495,25.662548303790423,0.33317703199320586,2.042635302920826,1.0,20
L-shape,ref3+learning,0.728845556835498,29.708410365662058,0.6018541374292894,0.4040760421729647,5.05507649485063,20
cross,ref3,5.301341320507399,23.53942937932234,0.18357937610163783,0.35034893456225596,5.019870692069078,15
cross,ref5,2.820972466063117,25.84301963679625,0.30865313334970507,0.4530605392841001,3.881835198858195,15
cross,ref7,2.5046148652842533,26.297854813059093,0.34279049379729293,0.5566236679907888,3.159596779193729,15
cross,ref9,2.1463434497466034,27.04447965970179,0.39034346284220517,0.6554386066738516,2.6832510790470327,15
cross,BP,1.8700462995506377,27.619392831674137,0.45044682374269035,1.7587063486066958,1.0,15
cross,ref3+learning,0.8019101110011666,30.956265672773938,0.612002837453202,0.3515316549486792,5.002981449461366,15
double-line,ref3,3.155882342589904,23.364330428113572,0.20362625474531704,0.548854247542719,5.740437718265561,15
double-line,ref5,2.4604034321192403,24.099482928324008,0.25200503056270906,0.7280797662368665,4.327360504342708,15
double-line,ref7,2.5084835157097083,24.068066455775636,0.2557317549580295,0.9051250386672716,3.4809153319452992,15
double-line,ref9,2.5919526664500556,23.98291205420264,0.26136224749702935,1.0778535310799877,2.9230906923574165,15
double-line,BP,2.2622542421949685,24.38536336883802,0.28878815466898466,3.1506636244244874,1.0,15
double-line,ref3+learning,0.7523473752333129,28.705465163425774,0.5409449191864905,0.5500369679291423,5.728094306618255,15
line,ref3,5.207608052731839,24.54234403581781,0.2231650669728557,0.34199525018921123,5.130591798772198,20
line,ref5,2.9183001499385575,26.44536676364846,0.33590303015254463,0.4414507813635282,3.9747081666050885,20
line,ref7,2.6398647935478925,26.990369270750755,0.3793623917311043,0.5443253358826041,3.223509747152831,20
line,ref9,2.336768247176194,27.33567136056207,0.40572486918193285,0.647156051255297,2.711305909040515,20
line,BP,2.074643307605262,27.952599023383662,0.45806294758739396,1.754638025839813,1.0,20
line,ref3+learning,0.7812016905907601,31.8031553179961,0.6565555820080136,0.3431779705756345,5.112909849360802,20
point_cluster,ref3,13.031400185950176,23.590023976850127,0.13384237627631135,0.34207687702728434,5.0247044120755575,20
point_cluster,ref5,7.156386011810038,26.28953661034451,0.27750601133561104,0.4430000225547701,3.8799889520446156,20
point_cluster,ref7,5.931670237652877,26.794521765210867,0.30403167243873347,0.5454536957899109,3.1512027630115407,20
point_cluster,ref9,4.921812863605605,27.487874625522903,0.3473206856247898,0.6415065087960101,2.679372959900222,20
point_cluster,BP,4.7437635093679695,27.77743855944301,0.3776576984784829,1.7188351932680235,1.0,20
point_cluster,ref3+learning,0.9707168629916337,34.12689418138437,0.7196445520534666,0.3432595974137076,5.0073915084053064,20
small_rect_edge,ref3,4.158195671827727,24.174785605585406,0.18880941862326206,0.270718943583779,4.96432360509169,10
small_rect_edge,ref5,2.648105739372197,25.575160652841426,0.2685827373984884,0.3487004201626405,3.854129115621949,10
small_rect_edge,ref7,2.4670968954140435,26.002640281828008,0.30167573867334785,0.4292819612426683,3.130661344557936,10
small_rect_edge,ref9,2.3296580800775453,25.99346996258887,0.29748802734203184,0.5039839442586527,2.666625509182312,10
small_rect_edge,BP,2.2105845807586317,26.22226363432764,0.3317307976541668,1.3439364419784396,1.0,10
small_rect_edge,ref3+learning,0.7819099752118266,30.672177101920067,0.6114644483068212,0.27190166397020227,4.942729744109701,10
