test_sample_id,test_family,nearest_train_sample_id,nearest_train_family,distance
line_test_0000,line,line_train_0025,line,2.035402
line_test_0001,line,line_train_0057,line,0.786332
line_test_0002,line,line_train_0004,line,1.828366
line_test_0003,line,line_train_0019,line,1.654565
line_test_0004,line,line_train_0073,line,0.756933
line_test_0005,line,line_train_0050,line,1.706141
line_test_0006,line,line_train_0122,line,1.234233
line_test_0007,line,line_train_0083,line,1.091329
line_test_0008,line,line_train_0013,line,2.504171
line_test_0009,line,line_train_0026,line,1.701446
line_test_0010,line,line_train_0122,line,1.284423
line_test_0011,line,line_train_0039,line,0.328282
line_test_0012,line,line_train_0148,line,1.454425
line_test_0013,line,line_train_0009,line,1.878586
line_test_0014,line,line_train_0144,line,1.295394
line_test_0015,line,line_train_0114,line,1.454329
line_test_0016,line,line_train_0101,line,1.304640
line_test_0017,line,line_train_0037,line,1.669697
line_test_0018,line,line_train_0038,line,1.336559
line_test_0019,line,line_train_0003,line,1.099652
cross_test_0000,cross,cross_train_0064,cross,1.513195
cross_test_0001,cross,cross_train_0027,cross,1.895606
cross_test_0002,cross,L_shape_train_0012,L-shape,2.083121
cross_test_0003,cross,L_shape_train_0078,L-shape,2.121654
cross_test_0004,cross,L_shape_train_0008,L-shape,1.468274
cross_test_0005,cross,L_shape_train_0010,L-shape,1.752708
cross_test_0006,cross,cross_train_0073,cross,2.141327
cross_test_0007,cross,L_shape_train_0127,L-shape,1.162460
cross_test_0008,cross,L_shape_train_0034,L-shape,1.523015
cross_test_0009,cross,cross_train_0101,cross,1.465040
cross_test_0010,cross,L_shape_train_0093,L-shape,1.619395
cross_test_0011,cross,L_shape_train_0155,L-shape,1.860600
cross_test_0012,cross,L_shape_train_0024,L-shape,1.443988
cross_test_0013,cross,cross_train_0009,cross,1.215337
cross_test_0014,cross,small_rect_edge_train_0005,small_rect_edge,1.772178
L_shape_test_0000,L-shape,L_shape_train_0021,L-shape,1.520001
L_shape_test_0001,L-shape,L_shape_train_0009,L-shape,0.514715
L_shape_test_0002,L-shape,L_shape_train_0013,L-shape,1.608720
L_shape_test_0003,L-shape,L_shape_train_0155,L-shape,2.056671
L_shape_test_0004,L-shape,L_shape_train_0022,L-shape,2.153955
L_shape_test_0005,L-shape,double_line_train_0061,double-line,1.563438
L_shape_test_0006,L-shape,L_shape_train_0126,L-shape,1.546205
L_shape_test_0007,L-shape,L_shape_train_0056,L-shape,2.106361
L_shape_test_0008,L-shape,L_shape_train_0100,L-shape,1.438759
L_shape_test_0009,L-shape,cross_train_0094,cross,1.949578
L_shape_test_0010,L-shape,L_shape_train_0102,L-shape,1.017214
L_shape_test_0011,L-shape,L_shape_train_0055,L-shape,1.602153
L_shape_test_0012,L-shape,L_shape_train_0154,L-shape,2.187584
L_shape_test_0013,L-shape,L_shape_train_0105,L-shape,1.605255
L_shape_test_0014,L-shape,cross_train_0046,cross,1.166352
L_shape_test_0015,L-shape,L_shape_train_0063,L-shape,0.719328
L_shape_test_0016,L-shape,L_shape_train_0013,L-shape,1.723122
L_shape_test_0017,L-shape,cross_train_0030,cross,1.766156
L_shape_test_0018,L-shape,cross_train_0024,cross,2.774518
L_shape_test_0019,L-shape,cross_train_0107,cross,1.105559
double_line_test_0000,double-line,double_line_train_0084,double-line,1.300127
double_line_test_0001,double-line,L_shape_train_0066,L-shape,0.788498
double_line_test_0002,double-line,small_rect_edge_train_0069,small_rect_edge,1.791721
double_line_test_0003,double-line,double_line_train_0085,double-line,1.877421
double_line_test_0004,double-line,double_line_train_0059,double-line,3.046523
double_line_test_0005,double-line,double_line_train_0099,double-line,1.873905
double_line_test_0006,double-line,double_line_train_0097,double-line,1.724392
double_line_test_0007,double-line,double_line_train_0007,double-line,0.757041
double_line_test_0008,double-line,double_line_train_0092,double-line,1.100248
double_line_test_0009,double-line,double_line_train_0020,double-line,1.797149
double_line_test_0010,double-line,L_shape_train_0145,L-shape,1.812868
double_line_test_0011,double-line,L_shape_train_0078,L-shape,2.991484
double_line_test_0012,double-line,line_train_0049,line,1.710397
double_line_test_0013,double-line,double_line_train_0036,double-line,1.802542
double_line_test_0014,double-line,double_line_train_0013,double-line,2.386356
small_rect_edge_test_0000,small_rect_edge,small_rect_edge_train_0049,small_rect_edge,2.005042
small_rect_edge_test_0001,small_rect_edge,small_rect_edge_train_0049,small_rect_edge,1.765703
small_rect_edge_test_0002,small_rect_edge,small_rect_edge_train_0072,small_rect_edge,1.791691
small_rect_edge_test_0003,small_rect_edge,small_rect_edge_train_0074,small_rect_edge,1.919196
small_rect_edge_test_0004,small_rect_edge,small_rect_edge_train_0064,small_rect_edge,1.476246
small_rect_edge_test_0005,small_rect_edge,small_rect_edge_train_0078,small_rect_edge,0.299341
small_rect_edge_test_0006,small_rect_edge,small_rect_edge_train_0046,small_rect_edge,1.148805
small_rect_edge_test_0007,small_rect_edge,small_rect_edge_train_0011,small_rect_edge,1.490362
small_rect_edge_test_0008,small_rect_edge,small_rect_edge_train_0068,small_rect_edge,1.541394
small_rect_edge_test_0009,small_rect_edge,small_rect_edge_train_0058,small_rect_edge,1.523341
point_cluster_test_0000,point_cluster,point_cluster_train_0148,point_cluster,1.134004
point_cluster_test_0001,point_cluster,point_cluster_train_0173,point_cluster,1.375813
point_cluster_test_0002,point_cluster,point_cluster_train_0093,point_cluster,1.000074
point_cluster_test_0003,point_cluster,point_cluster_train_0007,point_cluster,0.614360
point_cluster_test_0004,point_cluster,point_cluster_train_0081,point_cluster,1.591022
point_cluster_test_0005,point_cluster,point_cluster_train_0116,point_cluster,1.049513
point_cluster_test_0006,point_cluster,point_cluster_train_0025,point_cluster,0.302533
point_cluster_test_0007,point_cluster,point_cluster_train_0179,point_cluster,0.786445
point_cluster_test_0008,point_cluster,point_cluster_train_0120,point_cluster,1.082294
point_cluster_test_0009,point_cluster,point_cluster_train_0070,point_cluster,0.444307
point_cluster_test_0010,point_cluster,point_cluster_train_0081,point_cluster,1.064534
point_cluster_test_0011,point_cluster,point_cluster_train_0131,point_cluster,0.647560
point_cluster_test_0012,point_cluster,point_cluster_train_0045,point_cluster,0.330891
point_cluster_test_0013,point_cluster,point_cluster_train_0145,point_cluster,1.003987
point_cluster_test_0014,point_cluster,point_cluster_train_0010,point_cluster,0.581096
point_cluster_test_0015,point_cluster,point_cluster_train_0099,point_cluster,1.357427
point_cluster_test_0016,point_cluster,point_cluster_train_0086,point_cluster,1.097920
point_cluster_test_0017,point_cluster,point_cluster_train_0144,point_cluster,0.523124
point_cluster_test_0018,point_cluster,point_cluster_train_0026,point_cluster,0.582177
