dataset,sample_id,family,model,NMSE,PSNR,SSIM,runtime,speedup_vs_BP
Main Test,line_test_0000,line,Baseline-Ours,0.7220197600069965,32.255522992255855,0.6668525324220198,0.44588397847954186,4.427207389890162
Main Test,line_test_0000,line,Ours-PC-P1,0.6608907023876304,32.63971743349053,0.699350330547586,0.4559373972006142,4.329587475557916
Main Test,line_test_0001,line,Baseline-Ours,0.7694717945951746,27.04829721113113,0.45864105343662914,0.5877923551900313,3.3583642712060446
Main Test,line_test_0001,line,Ours-PC-P1,0.785238106526664,26.96021077070467,0.44241022064364405,0.5917182005941868,3.3360826869546982
Main Test,line_test_0002,line,Baseline-Ours,0.6512914813108331,32.064546182375686,0.7041407293757469,0.26229796637315306,7.525871709390045
Main Test,line_test_0002,line,Ours-PC-P1,0.645205593411063,32.105318861591215,0.705504659852324,0.26634704088792205,7.411461520193556
Main Test,line_test_0003,line,Baseline-Ours,1.0823283335531428,33.56752504080311,0.7162952786740371,0.4062372044147924,4.859281284691643
Main Test,line_test_0003,line,Ours-PC-P1,1.0904267632467328,33.53515025286369,0.7075298701048524,0.4098021739628166,4.817009205854937
Main Test,line_test_0004,line,Baseline-Ours,0.9897439095064566,36.68317827749436,0.8139688278545434,0.2880685614375398,6.8526077080656
Main Test,line_test_0004,line,Ours-PC-P1,0.9805611955451603,36.72365959892819,0.8162933934879518,0.29221879807300866,6.755283566887643
Main Test,line_test_0005,line,Baseline-Ours,0.8456207296215303,33.145254726762154,0.6868892769754088,0.2774442053353414,7.115019187992386
Main Test,line_test_0005,line,Ours-PC-P1,0.8392823658120738,33.177929952856616,0.6892765435679836,0.28085886291228235,7.028515404816614
Main Test,line_test_0006,line,Baseline-Ours,0.8099779077348002,32.51430953365988,0.6547031974697263,0.5741026602638886,3.438445736605518
Main Test,line_test_0006,line,Ours-PC-P1,0.8133524115062366,32.496253566780354,0.6513719007309936,0.5775424928870052,3.4179664160996484
Main Test,line_test_0007,line,Baseline-Ours,0.7599256155546403,30.98119149940931,0.643864861821445,0.4255168245593086,4.639113498279818
Main Test,line_test_0007,line,Ours-PC-P1,0.7562441356080285,31.00228211525231,0.6460682843816941,0.4279678091406822,4.6125451550243834
Main Test,line_test_0008,line,Baseline-Ours,0.7855527227126596,26.868992765070537,0.43047157628238164,0.27094700033310803,7.285634615372565
Main Test,line_test_0008,line,Ours-PC-P1,0.7848071776409419,26.873116374720006,0.43399015914044103,0.27436783094890416,7.194796991072463
Main Test,line_test_0009,line,Baseline-Ours,0.6396902395041171,32.14712238449137,0.7002464560539143,0.3755566501943395,5.256253200513841
Main Test,line_test_0009,line,Ours-PC-P1,0.6565727696812586,32.03399100514437,0.6894558984495608,0.37822172581218183,5.219215898608948
Main Test,line_test_0010,line,Baseline-Ours,0.707657069938542,33.92144689025528,0.7404328381735098,0.4685524514364079,4.2130199906256784
Main Test,line_test_0010,line,Ours-PC-P1,0.6702096706557783,34.157568516437735,0.7515567809577233,0.47405632422305644,4.16410612767065
Main Test,line_test_0011,line,Baseline-Ours,0.7761189335134973,28.847606668123866,0.5165361431356196,0.27088776542339477,7.287227761921546
Main Test,line_test_0011,line,Ours-PC-P1,0.7778796516046189,28.837765411909125,0.5125960009825495,0.27330288803204894,7.222831997028768
Main Test,line_test_0012,line,Baseline-Ours,0.6139101425899993,31.80087130956953,0.6888746210783581,0.3953236523969099,4.993429643254212
Main Test,line_test_0012,line,Ours-PC-P1,0.6279764816642139,31.702485730045687,0.6795524566365471,0.3988565751351416,4.9491997064092805
Main Test,line_test_0013,line,Baseline-Ours,0.7369717619253735,28.339226941312926,0.5244848824102456,0.2776985094835982,7.1085035646359715
Main Test,line_test_0013,line,Ours-PC-P1,0.7202823391765729,28.43870781082288,0.5412530334474129,0.2839098470285535,6.952984777451984
Main Test,line_test_0014,line,Baseline-Ours,0.9913506980873192,34.86768779893028,0.7521035361488173,0.19520228830631822,10.112693153783892
Main Test,line_test_0014,line,Ours-PC-P1,0.9384111301297213,35.10602942114902,0.764037208489351,0.19830270786769688,9.954583403244682
Main Test,line_test_0015,line,Baseline-Ours,0.9033293293755581,35.83063444279172,0.798845219280671,0.22016967236530036,8.965907172187661
Main Test,line_test_0015,line,Ours-PC-P1,0.8923497727035552,35.88374439620853,0.7977417558647147,0.22266965196467936,8.865244217794798
Main Test,line_test_0016,line,Baseline-Ours,0.6186597950087473,30.288491491891545,0.6636818888852671,0.34911554245743903,5.654348215673922
