dataset,sample_id,family,model,NMSE,PSNR,SSIM,runtime,speedup_vs_BP
Unseen-Parameter OOD,unseen_param_ood_0000,line,Baseline-Ours,0.7857830285545527,28.1369692616059,0.46946041007681255,0.4712464699987322,6.920576796649934
Unseen-Parameter OOD,unseen_param_ood_0000,line,Ours-PC-P1,0.7738661304186943,28.203337350338344,0.48475218570456674,0.4702304450329393,6.935530058135568
Unseen-Parameter OOD,unseen_param_ood_0001,line,Baseline-Ours,0.6543774484955812,29.691205677519065,0.6457443512055151,0.6315297207329422,5.1641233638084545
Unseen-Parameter OOD,unseen_param_ood_0001,line,Ours-PC-P1,0.6688139652922562,29.5964357758902,0.6330194104628605,0.6321150688454509,5.1593413074824
Unseen-Parameter OOD,unseen_param_ood_0002,line,Baseline-Ours,0.626167155646502,28.233172682404707,0.5545830778737466,0.37924556504003704,8.599434473102196
Unseen-Parameter OOD,unseen_param_ood_0002,line,Ours-PC-P1,0.6432552415020383,28.116242466049954,0.5421390671955026,0.3767536401282996,8.656312875081483
Unseen-Parameter OOD,unseen_param_ood_0003,line,Baseline-Ours,0.7922598323451391,25.116482234222563,0.37295946515916834,0.43173878407105803,7.553867074493944
Unseen-Parameter OOD,unseen_param_ood_0003,line,Ours-PC-P1,0.810627599279281,25.016944533764978,0.35601780945311834,0.42909649293869734,7.600382290335659
Unseen-Parameter OOD,unseen_param_ood_0004,line,Baseline-Ours,0.6972625571875207,29.710359670383788,0.6138722997818506,0.46848746901378036,6.9613332297698785
Unseen-Parameter OOD,unseen_param_ood_0004,line,Ours-PC-P1,0.7231620672881228,29.551966909750146,0.5896216283075943,0.46651302417740226,6.9907960051641185
Unseen-Parameter OOD,unseen_param_ood_0005,line,Baseline-Ours,0.8397014258767198,26.12894729148231,0.39871710830400714,0.3500269060023129,9.317276271769993
Unseen-Parameter OOD,unseen_param_ood_0005,line,Ours-PC-P1,0.8290822789320684,26.184220182571828,0.3984458202897406,0.3494112810585648,9.333692306373445
Unseen-Parameter OOD,unseen_param_ood_0006,line,Baseline-Ours,0.6738341911817547,28.325611846654915,0.6179212977085207,3.376665431074798,0.9658337351883688
Unseen-Parameter OOD,unseen_param_ood_0006,line,Ours-PC-P1,0.6881720266678779,28.23417204899898,0.6013166825869031,3.3739518222864717,0.9666105378962667
Unseen-Parameter OOD,unseen_param_ood_0007,line,Baseline-Ours,0.6428623527049083,28.69715732971295,0.5881610748533903,0.3051695020403713,10.686839163059531
Unseen-Parameter OOD,unseen_param_ood_0007,line,Ours-PC-P1,0.6588569702844324,28.59042599274161,0.5713475685989992,0.3040093129966408,10.727623287686756
Unseen-Parameter OOD,unseen_param_ood_0008,line,Baseline-Ours,0.8391149746971147,25.377367582990228,0.3365870612307878,0.328776917187497,9.919484049169249
Unseen-Parameter OOD,unseen_param_ood_0008,line,Ours-PC-P1,0.8327093077493052,25.41064809503864,0.34075278715607815,0.32735199900344014,9.962662197587932
Unseen-Parameter OOD,unseen_param_ood_0009,line,Baseline-Ours,0.6472758524125758,29.56497220547986,0.6187166118660196,0.29768237099051476,10.955628225227796
Unseen-Parameter OOD,unseen_param_ood_0009,line,Ours-PC-P1,0.6703768007325536,29.41267646451709,0.6029743860609614,0.2970962889958173,10.977240398389258
Unseen-Parameter OOD,unseen_param_ood_0010,line,Baseline-Ours,0.881251258186684,25.15527597621552,0.32430440862973614,0.39491333975456655,8.25826088276296
Unseen-Parameter OOD,unseen_param_ood_0010,line,Ours-PC-P1,0.8381029305671293,25.373299662772727,0.3637584042337125,0.3930145399644971,8.298159620432935
Unseen-Parameter OOD,unseen_param_ood_0011,line,Baseline-Ours,0.7644628787386044,25.569111599733013,0.41263709170238355,0.36267644283361733,8.992305539052007
Unseen-Parameter OOD,unseen_param_ood_0011,line,Ours-PC-P1,0.7716711896849932,25.528352671327497,0.40622460978991803,0.3612321107648313,9.028259915408183
Unseen-Parameter OOD,unseen_param_ood_0012,line,Baseline-Ours,0.6775604642874085,27.904926953598657,0.5171763592425986,0.3031783108599484,10.75702736295986
Unseen-Parameter OOD,unseen_param_ood_0012,line,Ours-PC-P1,0.6888059353520819,27.83343892291282,0.5073692687842075,0.3008677177131176,10.839638797294024
Unseen-Parameter OOD,unseen_param_ood_0013,line,Baseline-Ours,0.7153186039958949,29.591545309937295,0.5937781732454791,0.5629418271128088,5.793311544290133
Unseen-Parameter OOD,unseen_param_ood_0013,line,Ours-PC-P1,0.7060533285215445,29.648165432595885,0.5990895749013821,0.561252455227077,5.810749432636206
Unseen-Parameter OOD,unseen_param_ood_0014,line,Baseline-Ours,0.7182583503138597,28.589737525107438,0.5166760396936679,0.367821941152215,8.866511267816945
Unseen-Parameter OOD,unseen_param_ood_0014,line,Ours-PC-P1,0.7123600760633021,28.625548876558298,0.5209505532162182,0.36743353703059256,8.875883818696929
Unseen-Parameter OOD,unseen_param_ood_0015,line,Baseline-Ours,0.6711729469957007,28.99795430365927,0.6033560956611067,0.8108385186642408,4.022129327488058
