dataset,family,baseline_nmse,p1_nmse,p2a_nmse,baseline_psnr,p1_psnr,p2a_psnr,baseline_ssim,p1_ssim,p2a_ssim
Leave-One-Family-Out Focused OOD,point_cluster,0.8522655387276551,0.8526812193548658,0.864380552094765,32.26367974172588,32.26156225256918,32.20237938837977,0.6395806427146288,0.6413821453928061,0.6331074557087802
Leave-One-Family-Out Focused OOD,point_cluster,0.8818554786104909,0.8661038713143703,0.8697880021357628,31.968684888930376,32.046959324259184,32.02852501001724,0.62004564010828,0.6271470655179304,0.6226583054758228
Leave-One-Family-Out Focused OOD,point_cluster,0.8863601975798878,0.8666415089620578,0.8733264899290156,32.3875271501711,32.4852346768934,32.45186325522535,0.6356744120747568,0.6437149676029041,0.6397488504315376
Leave-One-Family-Out Focused OOD,point_cluster,0.9060550792312461,0.924614172888597,0.9287101375797092,30.770211439483827,30.682151991734862,30.66295558037114,0.5630186679090354,0.5464271404390904,0.5417983279186188
Leave-One-Family-Out Focused OOD,point_cluster,0.9067446327698215,0.9191720786747418,0.9209782596835709,31.343789571378974,31.284671146684936,31.2761456219776,0.5880056236437896,0.5781620894399122,0.5750584112791558
Leave-One-Family-Out Focused OOD,point_cluster,0.908314872672874,0.9030590425522846,0.9083391106582999,31.60982477125173,31.635027691034267,31.609708679759535,0.5959594665727038,0.5976284467273572,0.5933307506330224
Leave-One-Family-Out Focused OOD,point_cluster,0.9150335437525638,0.9112442867722701,0.9138029232204228,32.12443854608465,32.14246061818272,32.130283464053136,0.6246712932078109,0.6246343046921912,0.6209903437331465
Leave-One-Family-Out Focused OOD,point_cluster,0.9167105828572946,0.9115534525302897,0.906504527983252,32.2893046199754,32.313805985340885,32.337927515624415,0.6397746867368467,0.6359587745291391,0.6345099836825636
Leave-One-Family-Out Focused OOD,point_cluster,0.9174910973814743,0.933362859153471,0.9297162515083468,32.404829241936504,32.330342874018775,32.34734397786491,0.6361576749501655,0.6299109955087132,0.6287025122183507
Leave-One-Family-Out Focused OOD,point_cluster,0.9202379820552403,0.9338089494624225,0.9198382176055679,31.93212072990814,31.86854199930431,31.93400744061768,0.6271023835454583,0.625172895230459,0.6253608483219456
Leave-One-Family-Out Focused OOD,point_cluster,0.920380808973116,0.9265874219175536,0.9154837413675766,31.322642428278908,31.293453981080805,31.345811656668943,0.6001793458183038,0.5966465630362349,0.5981483635163444
Leave-One-Family-Out Focused OOD,point_cluster,0.9208055670892057,0.917836361632576,0.9149594782190728,32.64744031618935,32.66146681335173,32.67510112801707,0.6514419473945313,0.6472153241793487,0.6459815945383506
Leave-One-Family-Out Focused OOD,point_cluster,0.9234843039510805,0.9153831890217359,0.915598750409404,31.616465460425584,31.654731457272064,31.653708813188896,0.6005141123830342,0.599522178879478,0.5967078123063918
Leave-One-Family-Out Focused OOD,point_cluster,0.9237327751328732,0.9279669971189812,0.9285951079640128,32.86110812714762,32.8412462601172,32.8383076737983,0.6581866883291324,0.6522183540201545,0.6519112133468731
Leave-One-Family-Out Focused OOD,point_cluster,0.9249697132470707,0.9202923664473012,0.9205369195381814,31.476349093996298,31.498365943838667,31.497212094610244,0.5848353431125394,0.5857336545696331,0.5861638933949305
Leave-One-Family-Out Focused OOD,point_cluster,0.9249957327691017,0.92008125902502,0.9224359861734347,30.64252449287878,30.66565977471866,30.65455945539647,0.5449782499577922,0.5421885168260528,0.538545014012267
Leave-One-Family-Out Focused OOD,point_cluster,0.9252551620348829,0.9116094771154409,0.911270157484258,33.14972560573877,33.214252418278974,33.21586942846699,0.6689181538997728,0.672047694137449,0.6718331533998677
Leave-One-Family-Out Focused OOD,point_cluster,0.9259789401244799,0.9243476852858193,0.9228564922808151,31.99816246546242,32.00581998007438,32.01283196108526,0.6186464024406807,0.6162750934043872,0.6140425192620071
Leave-One-Family-Out Focused OOD,point_cluster,0.9270633813790272,0.9245203335334135,0.9175744585678054,31.669423552528855,31.681353328290065,31.7141046466234,0.605632848068273,0.6009822209693534,0.6003982552504715
Leave-One-Family-Out Focused OOD,point_cluster,0.9273239565117238,0.9194831090498021,0.9219167236877805,31.999160576016415,32.03603793286651,32.024558452874174,0.6115025045620822,0.6128403429899505,0.6107222156945546
Leave-One-Family-Out Focused OOD,point_cluster,0.9278900748455835,0.9184936366845049,0.9135346720825064,31.648201396287515,31.692404803836066,31.715916105541513,0.6399260681007611,0.6417315700372126,0.6417179800368359
Leave-One-Family-Out Focused OOD,point_cluster,0.9309944702695432,0.9478489715999538,0.9366542111181101,32.16713059685793,32.08921018033199,32.14080861969361,0.622540195224556,0.6116562318027111,0.6148448162054877
Leave-One-Family-Out Focused OOD,point_cluster,0.9327388434293356,0.9219010089812149,0.9206720017594503,32.532097140032306,32.58285461542163,32.58864822447002,0.6371579031415371,0.6402401067062029,0.6396385708876525
Leave-One-Family-Out Focused OOD,point_cluster,0.9385437167544138,0.9180632463971364,0.9218740756530152,31.058810713393665,31.154629655877013,31.136639744415056,0.5682944978920743,0.5727904659445456,0.5686451720394265
Leave-One-Family-Out Focused OOD,point_cluster,0.9393140482481276,0.9315757987776973,0.9268941503414824,31.34447441913622,31.380400453666844,31.402281002923292,0.5725575250310808,0.5746393082571973,0.5765005871403865
Leave-One-Family-Out Focused OOD,point_cluster,0.9404447801238361,0.9365459828127359,0.9372990088091123,31.09263100593312,31.110672906852436,31.107182479441317,0.567463667825008,0.5627757582072922,0.5609237782908667
Leave-One-Family-Out Focused OOD,point_cluster,0.9428768670592469,0.946141867706735,0.9506389858072386,31.513643249428934,31.49863044798613,31.47803704639459,0.5945723673392608,0.5864334745704709,0.5812153201993905
Leave-One-Family-Out Focused OOD,point_cluster,0.9430721910429513,0.9386215211414862,0.9272618782147105,31.747704355533312,31.768248932407637,31.82112970077452,0.6086187072547397,0.6063033297948737,0.6080254700217466
Leave-One-Family-Out Focused OOD,point_cluster,0.9455173328291484,0.9347869539182735,0.9323656033224635,32.21044371873924,32.26001256626867,32.27127646616591,0.6243928943936214,0.6266620130981597,0.624416746978521
Leave-One-Family-Out Focused OOD,point_cluster,0.9471365941265361,0.9570891996905443,0.9512886269520023,31.239447444719435,31.194049480595524,31.22045053965937,0.5758221943958834,0.5699545628176762,0.5717636029427285
Leave-One-Family-Out Focused OOD,point_cluster,0.9482227019858914,0.9289310743017171,0.9298835018003555,30.645114810209773,30.7343834974806,30.72993300530324,0.5368458464653938,0.5452899339895734,0.5427585727033877
Leave-One-Family-Out Focused OOD,point_cluster,0.9485861409793245,0.9248780319504031,0.9423661747691919,32.168443604149466,32.27836640244807,32.19701432565551,0.6227926294316536,0.6285106414584752,0.6191184826269939
Leave-One-Family-Out Focused OOD,point_cluster,0.9490954229983577,0.9496255854066703,0.9442981042154247,31.462546168917633,31.460120795947898,31.484553465671915,0.5855705692876617,0.579466703519065,0.5795994360158115
Leave-One-Family-Out Focused OOD,point_cluster,0.9553568991234637,0.9553728138400341,0.9440196529065533,32.245044138005674,32.24497165079997,32.29689036679397,0.6249580522696683,0.6229889061516348,0.6264748066921522
Leave-One-Family-Out Focused OOD,point_cluster,0.9559095687862269,0.9419559659246417,0.941531491823253,31.47139275083912,31.535255001264627,31.537212345767387,0.5856293271741998,0.5849212666529774,0.5844440002694659
Leave-One-Family-Out Focused OOD,point_cluster,0.9577850646663997,0.9594604645988207,0.9486602412568369,31.03010659206771,31.02251638136152,31.071679975784797,0.5791587638679155,0.569810527187413,0.5684253518334665
Leave-One-Family-Out Focused OOD,point_cluster,0.9595070030992836,0.9417324443806272,0.9303854613397937,31.130118626400666,31.21132494458971,31.26397095866934,0.5762389930490548,0.5760186585278877,0.5757336485062151
Leave-One-Family-Out Focused OOD,point_cluster,0.962732844201783,0.9555813357189391,0.9484791681865484,31.39346593400279,31.425847152802824,31.458245979893768,0.5818078451141252,0.5831261958319213,0.5868076272225836
Leave-One-Family-Out Focused OOD,point_cluster,0.9649498552444077,0.9593850386319872,0.9581012576814582,30.495399142244175,30.52051699135057,30.526332504208703,0.5294552117181724,0.5268526943169249,0.5260916669328228
Leave-One-Family-Out Focused OOD,point_cluster,0.9656039100793311,0.9588997879308313,0.9556932972319087,31.094420768702335,31.124678785151822,31.139225500926365,0.558245915649286,0.5576482038879695,0.5598303723582229
Leave-One-Family-Out Focused OOD,point_cluster,0.9686666168771383,0.9530078463588098,0.9505028730753566,32.28743657758051,32.358214743922176,32.369645409430646,0.6262476801243012,0.6300439997935167,0.6298483135899711
Leave-One-Family-Out Focused OOD,point_cluster,0.9697643691568133,0.9669289839811959,0.9719159367159087,31.281801070851817,31.294517657345185,31.272176446011215,0.5703098729100871,0.5702260833335586,0.5686348750436707
Leave-One-Family-Out Focused OOD,point_cluster,0.9708371942076343,0.9508065617486839,0.9479397003617847,31.64863541370528,31.73917777833102,31.75229237313975,0.5961792187229167,0.5987900022940431,0.5978832934795303
Leave-One-Family-Out Focused OOD,point_cluster,0.9728168299643303,0.9572055414784812,0.9566915008332492,32.125644264700064,32.195903054468104,32.19823575245823,0.6170142940197936,0.6187130901704432,0.6160782772194573
Leave-One-Family-Out Focused OOD,point_cluster,0.9734768451710598,0.9761327447398664,0.9701220999025642,31.09470955357669,31.082876869797,31.109701803113232,0.5964891956455429,0.5953819559021258,0.5985313726648527
Leave-One-Family-Out Focused OOD,point_cluster,0.9740016890494556,0.953323352439381,0.9464812998429394,31.580234188103997,31.673428959728824,31.704710828267984,0.5876359339437824,0.5926482066104491,0.5926937546914912
Leave-One-Family-Out Focused OOD,point_cluster,0.9749623636394811,0.973289284888778,0.9684530014495781,31.674131391715758,31.681590493554577,31.703224683491854,0.5854088759049287,0.5873586432645872,0.5889752380418021
Leave-One-Family-Out Focused OOD,point_cluster,0.9753225580867748,0.9751995902642718,0.9694558536348952,32.89211252475,32.8926601686536,32.91831478710398,0.6540424456540262,0.6500581757668591,0.650196135390614
Leave-One-Family-Out Focused OOD,point_cluster,0.976409251735889,0.9518327310510143,0.9399619709370367,32.32651037756114,32.43722301438382,32.49172671484122,0.6299835279277524,0.6334841714682412,0.6368402050936501
Leave-One-Family-Out Focused OOD,point_cluster,0.9769169303036426,0.9673973240517203,0.9587540049024799,31.02494255109052,31.06747012973667,31.106447288989052,0.5623457914262039,0.5638680302974912,0.5646022956608311
Leave-One-Family-Out Focused OOD,point_cluster,0.9812072260941009,0.9464147857858978,0.9393030016941346,32.12114020015419,32.27793241905842,32.310690341269655,0.6168555876867249,0.6240687973380272,0.6245971918979503
Leave-One-Family-Out Focused OOD,point_cluster,0.9813375885948993,0.9841866312340521,0.98079710025853,31.29806486014864,31.285474523351454,31.300457305564528,0.5631080673640452,0.559509787157321,0.5629461164509117
Leave-One-Family-Out Focused OOD,point_cluster,0.9830237830608047,0.9588284044796104,0.9469173204881973,32.59180963197834,32.700040957376345,32.75432928271875,0.6383404207175417,0.6444100792638349,0.6449299925578388
Leave-One-Family-Out Focused OOD,point_cluster,0.983578131271133,0.990229692771127,0.9750301188073374,30.965451131197792,30.93618026678097,31.003359493932933,0.5590483255260604,0.5518344227856333,0.5518241173093387
Leave-One-Family-Out Focused OOD,point_cluster,0.9836003608812426,0.9723167485397876,0.962904855489361,31.191400952418995,31.241510042163153,31.28375410599718,0.5633528327429779,0.5641625995096134,0.5655318101983162
Leave-One-Family-Out Focused OOD,point_cluster,0.9865028379118896,0.977439241355256,0.9783593171808792,31.051616877593112,31.091702596934642,31.087616186615552,0.5498877967713933,0.552171717365457,0.5512760280263694
Leave-One-Family-Out Focused OOD,point_cluster,0.9891562023893851,0.9753649660627582,0.9658279077724387,32.33677050908797,32.39774776946798,32.44042193454925,0.6160778829378964,0.6192859312838042,0.6220726753051402
Leave-One-Family-Out Focused OOD,point_cluster,0.9895000994537904,0.9665936885259938,0.9612963893739936,30.94882626513909,31.05054522040792,31.074411540373493,0.5596221203032201,0.5618621229048483,0.5609827413063145
Leave-One-Family-Out Focused OOD,point_cluster,0.9902129891737397,0.97343104152684,0.960369017300672,32.15424481725842,32.22847945099677,32.287149784559034,0.6147197555125326,0.6147810246141502,0.6188576821847395
Leave-One-Family-Out Focused OOD,point_cluster,0.9902768380884489,0.9825098272699954,0.9749798718563711,30.927037658945558,30.961235086459723,30.994647570609647,0.541766105607557,0.5437690255052428,0.5472137893027148
Leave-One-Family-Out Focused OOD,point_cluster,0.9912719617384175,0.9947410621638447,0.982858326604177,31.556169557662685,31.54099739025645,31.593188352072286,0.5833941828049125,0.5790473419441302,0.5816005806847052
Leave-One-Family-Out Focused OOD,point_cluster,0.9935606082163584,0.9753764064028269,0.9659074918596466,31.55834661704108,31.638567925438164,31.680934876740878,0.581594910156067,0.5857891849914946,0.5881500307330841
