dataset,sample_id,family,model,NMSE,PSNR,SSIM,runtime,speedup_vs_BP
Main Test,line_test_0000,line,Baseline-Ours,0.7220197600069965,32.255522992255855,0.6668525324220198,0.44588397847954186,4.427207389890162
Main Test,line_test_0000,line,Ours-PC-P1,0.6608907023876304,32.63971743349053,0.699350330547586,0.4553324340377003,4.335339846216205
Main Test,line_test_0000,line,Ours-PC-P2A,0.6654038617431901,32.61016070062675,0.6972907945106063,0.4491035609971732,4.395469143409173
Main Test,line_test_0001,line,Baseline-Ours,0.7694717945951746,27.04829721113113,0.45864105343662914,0.5877923551900313,3.3583642712060446
Main Test,line_test_0001,line,Ours-PC-P1,0.785238106526664,26.96021077070467,0.44241022064364405,0.5906695616431534,3.342005366023647
Main Test,line_test_0001,line,Ours-PC-P2A,0.7899448432182227,26.93425644034557,0.4338904439311946,0.5904456519056112,3.3432727266045164
Main Test,line_test_0002,line,Baseline-Ours,0.6512914813108331,32.064546182375686,0.7041407293757469,0.26229796637315306,7.525871709390045
Main Test,line_test_0002,line,Ours-PC-P1,0.645205593411063,32.105318861591215,0.705504659852324,0.2648888020776212,7.452262342066843
Main Test,line_test_0002,line,Ours-PC-P2A,0.6693157645839312,31.94598981041949,0.6851052015216732,0.2650598001200706,7.447454663679795
Main Test,line_test_0003,line,Baseline-Ours,1.0823283335531428,33.56752504080311,0.7162952786740371,0.4062372044147924,4.859281284691643
Main Test,line_test_0003,line,Ours-PC-P1,1.0904267632467328,33.53515025286369,0.7075298701048524,0.40897138114087284,4.826794576802648
Main Test,line_test_0003,line,Ours-PC-P2A,0.9853122001053407,33.975376653612045,0.7272105030523376,0.40892181103117764,4.827379688015095
Main Test,line_test_0004,line,Baseline-Ours,0.9897439095064566,36.68317827749436,0.8139688278545434,0.2880685614375398,6.8526077080656
Main Test,line_test_0004,line,Ours-PC-P1,0.9805611955451603,36.72365959892819,0.8162933934879518,0.2914991609286517,6.771960640536532
Main Test,line_test_0004,line,Ours-PC-P2A,0.993411252812848,36.66711592707288,0.8140031351864615,0.29158032895065844,6.770075511137447
Main Test,line_test_0005,line,Baseline-Ours,0.8456207296215303,33.145254726762154,0.6868892769754088,0.2774442053353414,7.115019187992386
Main Test,line_test_0005,line,Ours-PC-P1,0.8392823658120738,33.177929952856616,0.6892765435679836,0.28014564979821444,7.046409058931015
Main Test,line_test_0005,line,Ours-PC-P2A,0.8306130087894877,33.2230236109302,0.6915098801689636,0.2795777749270201,7.060721636666379
Main Test,line_test_0006,line,Baseline-Ours,0.8099779077348002,32.51430953365988,0.6547031974697263,0.5741026602638886,3.438445736605518
Main Test,line_test_0006,line,Ours-PC-P1,0.8133524115062366,32.496253566780354,0.6513719007309936,0.5765678798779845,3.4237440437646365
Main Test,line_test_0006,line,Ours-PC-P2A,0.8091476532949129,32.51876338008683,0.6529894517479188,0.5772834678646177,3.4195000453766564
Main Test,line_test_0007,line,Baseline-Ours,0.7599256155546403,30.98119149940931,0.643864861821445,0.4255168245593086,4.639113498279818
Main Test,line_test_0007,line,Ours-PC-P1,0.7562441356080285,31.00228211525231,0.6460682843816941,0.42805678327567875,4.611586410223845
Main Test,line_test_0007,line,Ours-PC-P2A,0.7680117537633251,30.93522379422631,0.6312761028607394,0.4280232531018555,4.611947669320904
Main Test,line_test_0008,line,Baseline-Ours,0.7855527227126596,26.868992765070537,0.43047157628238164,0.27094700033310803,7.285634615372565
Main Test,line_test_0008,line,Ours-PC-P1,0.7848071776409419,26.873116374720006,0.43399015914044103,0.2746120737865567,7.188397863717271
Main Test,line_test_0008,line,Ours-PC-P2A,0.7967076476637576,26.807756140632428,0.4204249214866932,0.2740405697841197,7.203389067951958
Main Test,line_test_0009,line,Baseline-Ours,0.6396902395041171,32.14712238449137,0.7002464560539143,0.3755566501943395,5.256253200513841
Main Test,line_test_0009,line,Ours-PC-P1,0.6565727696812586,32.03399100514437,0.6894558984495608,0.3789785837288946,5.208792605469194
Main Test,line_test_0009,line,Ours-PC-P2A,0.6714951494017313,31.93639090938408,0.6775549821062979,0.37812904571183026,5.220495137690752
Main Test,line_test_0010,line,Baseline-Ours,0.707657069938542,33.92144689025528,0.7404328381735098,0.4685524514364079,4.2130199906256784
Main Test,line_test_0010,line,Ours-PC-P1,0.6702096706557783,34.157568516437735,0.7515567809577233,0.4747202170547098,4.158282655003831
Main Test,line_test_0010,line,Ours-PC-P2A,0.6708597506091093,34.15335780971435,0.7502099297886231,0.4716840712353587,4.185048775101134
Main Test,line_test_0011,line,Baseline-Ours,0.7761189335134973,28.847606668123866,0.5165361431356196,0.27088776542339477,7.287227761921546
Main Test,line_test_0011,line,Ours-PC-P1,0.7778796516046189,28.837765411909125,0.5125960009825495,0.2735864731948823,7.215345194175996
Main Test,line_test_0011,line,Ours-PC-P2A,0.7779712230711799,28.83725399288459,0.5120468624054042,0.27444028411991894,7.192897540128217
Main Test,line_test_0012,line,Baseline-Ours,0.6139101425899993,31.80087130956953,0.6888746210783581,0.3953236523969099,4.993429643254212
Main Test,line_test_0012,line,Ours-PC-P1,0.6279764816642139,31.702485730045687,0.6795524566365471,0.39816673495806754,4.957774397617987
Main Test,line_test_0012,line,Ours-PC-P2A,0.6430199944578732,31.599674654984476,0.6677952069509978,0.39791626390069723,4.960895101917433
Main Test,line_test_0013,line,Baseline-Ours,0.7369717619253735,28.339226941312926,0.5244848824102456,0.2776985094835982,7.1085035646359715
Main Test,line_test_0013,line,Ours-PC-P1,0.7202823391765729,28.43870781082288,0.5412530334474129,0.28158645308576524,7.010354450386181
Main Test,line_test_0013,line,Ours-PC-P2A,0.7404969958570159,28.318502560106342,0.5223655168157453,0.2807742452714592,7.030633606190353
Main Test,line_test_0014,line,Baseline-Ours,0.9913506980873192,34.86768779893028,0.7521035361488173,0.19520228830631822,10.112693153783892
Main Test,line_test_0014,line,Ours-PC-P1,0.9384111301297213,35.10602942114902,0.764037208489351,0.19847508776001632,9.945937632964378
Main Test,line_test_0014,line,Ours-PC-P2A,0.9182652979130297,35.20027921527237,0.7686748098622048,0.19982246891595423,9.878873258184651
Main Test,line_test_0015,line,Baseline-Ours,0.9033293293755581,35.83063444279172,0.798845219280671,0.22016967236530036,8.965907172187661
Main Test,line_test_0015,line,Ours-PC-P1,0.8923497727035552,35.88374439620853,0.7977417558647147,0.22299718693830073,8.852223078062547
Main Test,line_test_0015,line,Ours-PC-P2A,0.8639535673744473,36.0241918589315,0.802697699396192,0.2232981389388442,8.840292417747776
Main Test,line_test_0016,line,Baseline-Ours,0.6186597950087473,30.288491491891545,0.6636818888852671,0.34911554245743903,5.654348215673922
Main Test,line_test_0016,line,Ours-PC-P1,0.6454084595025764,30.104663835285077,0.6461308022144991,0.3518230849877,5.610833765007965
Main Test,line_test_0016,line,Ours-PC-P2A,0.6671461422911595,29.960800731405634,0.6219266613764659,0.35163779999129474,5.613790225644466
