dataset,sample_id,family,model,NMSE,PSNR,SSIM,runtime,speedup_vs_BP
Unseen-Parameter OOD,unseen_param_ood_0000,line,Baseline-Ours,0.7857830285545527,28.1369692616059,0.46946041007681255,0.4712464699987322,6.920576796649934
Unseen-Parameter OOD,unseen_param_ood_0000,line,Ours-PC-P1,0.7738661304186943,28.203337350338344,0.48475218570456674,0.46995922503992915,6.939532648815066
Unseen-Parameter OOD,unseen_param_ood_0000,line,Ours-PC-P2A,0.7952384368006917,28.085022150989055,0.4684708723111916,0.4654366010800004,7.006963737292882
Unseen-Parameter OOD,unseen_param_ood_0001,line,Baseline-Ours,0.6543774484955812,29.691205677519065,0.6457443512055151,0.6315297207329422,5.1641233638084545
Unseen-Parameter OOD,unseen_param_ood_0001,line,Ours-PC-P1,0.6688139652922562,29.5964357758902,0.6330194104628605,0.6312432480044663,5.166466961961612
Unseen-Parameter OOD,unseen_param_ood_0001,line,Ours-PC-P2A,0.6870949166144725,29.47932161122417,0.6084793173586116,0.6324308330658823,5.156765317665459
Unseen-Parameter OOD,unseen_param_ood_0002,line,Baseline-Ours,0.626167155646502,28.233172682404707,0.5545830778737466,0.37924556504003704,8.599434473102196
Unseen-Parameter OOD,unseen_param_ood_0002,line,Ours-PC-P1,0.6432552415020383,28.116242466049954,0.5421390671955026,0.37843643804080784,8.61782074332055
Unseen-Parameter OOD,unseen_param_ood_0002,line,Ours-PC-P2A,0.6689808083076064,27.94593892770681,0.5179884872178386,0.3800946371629834,8.580224678039805
Unseen-Parameter OOD,unseen_param_ood_0003,line,Baseline-Ours,0.7922598323451391,25.116482234222563,0.37295946515916834,0.43173878407105803,7.553867074493944
Unseen-Parameter OOD,unseen_param_ood_0003,line,Ours-PC-P1,0.810627599279281,25.016944533764978,0.35601780945311834,0.4309400678612292,7.5678676201132795
Unseen-Parameter OOD,unseen_param_ood_0003,line,Ours-PC-P2A,0.8233387691960555,24.949372864845422,0.3378843120923196,0.4296668330207467,7.590293537083283
Unseen-Parameter OOD,unseen_param_ood_0004,line,Baseline-Ours,0.6972625571875207,29.710359670383788,0.6138722997818506,0.46848746901378036,6.9613332297698785
Unseen-Parameter OOD,unseen_param_ood_0004,line,Ours-PC-P1,0.7231620672881228,29.551966909750146,0.5896216283075943,0.4674177300184965,6.977265037950872
Unseen-Parameter OOD,unseen_param_ood_0004,line,Ours-PC-P2A,0.7301031862134847,29.510480663614604,0.5787759558710848,0.4667042831424624,6.987931123788076
Unseen-Parameter OOD,unseen_param_ood_0005,line,Baseline-Ours,0.8397014258767198,26.12894729148231,0.39871710830400714,0.3500269060023129,9.317276271769993
Unseen-Parameter OOD,unseen_param_ood_0005,line,Ours-PC-P1,0.8290822789320684,26.184220182571828,0.3984458202897406,0.35114194406196475,9.287689610788583
Unseen-Parameter OOD,unseen_param_ood_0005,line,Ours-PC-P2A,0.8361156855943953,26.14753258094541,0.3853385399172657,0.3473906309809536,9.387983137505005
Unseen-Parameter OOD,unseen_param_ood_0006,line,Baseline-Ours,0.6738341911817547,28.325611846654915,0.6179212977085207,3.376665431074798,0.9658337351883688
Unseen-Parameter OOD,unseen_param_ood_0006,line,Ours-PC-P1,0.6881720266678779,28.23417204899898,0.6013166825869031,3.373590216273442,0.9667141462660904
Unseen-Parameter OOD,unseen_param_ood_0006,line,Ours-PC-P2A,0.6969180669355736,28.179324925588478,0.5793194983082065,3.3740565122570843,0.966580545977507
Unseen-Parameter OOD,unseen_param_ood_0007,line,Baseline-Ours,0.6428623527049083,28.69715732971295,0.5881610748533903,0.3051695020403713,10.686839163059531
Unseen-Parameter OOD,unseen_param_ood_0007,line,Ours-PC-P1,0.6588569702844324,28.59042599274161,0.5713475685989992,0.30438549700193107,10.714365230600082
Unseen-Parameter OOD,unseen_param_ood_0007,line,Ours-PC-P2A,0.6872810549733139,28.406993554982304,0.5465223085757561,0.30412424891255796,10.723569059151565
Unseen-Parameter OOD,unseen_param_ood_0008,line,Baseline-Ours,0.8391149746971147,25.377367582990228,0.3365870612307878,0.328776917187497,9.919484049169249
Unseen-Parameter OOD,unseen_param_ood_0008,line,Ours-PC-P1,0.8327093077493052,25.41064809503864,0.34075278715607815,0.32676944113336504,9.980423427799591
Unseen-Parameter OOD,unseen_param_ood_0008,line,Ours-PC-P2A,0.8311944103664908,25.41855600256763,0.34366772529774264,0.3259839799720794,10.004471342597101
Unseen-Parameter OOD,unseen_param_ood_0009,line,Baseline-Ours,0.6472758524125758,29.56497220547986,0.6187166118660196,0.29768237099051476,10.955628225227796
Unseen-Parameter OOD,unseen_param_ood_0009,line,Ours-PC-P1,0.6703768007325536,29.41267646451709,0.6029743860609614,0.2966750271152705,10.99282746339572
