variant,bin,num_regions,NMSE,SSIM,MAE
S01_ref3,large,24,0.4369876011059876,0.8722870665916586,0.5243552488585314
S01_ref3,medium,24,0.43458283448512275,0.8814777716450175,0.4978778213262558
S01_ref3,small,24,0.41018165993423045,0.8503794978244641,0.4957235374798377
S02_plain_residual_unet,large,24,0.4157864371802032,0.8788577936391496,0.5115003113945326
S02_plain_residual_unet,medium,24,0.4125933493543743,0.8878289475636683,0.4842787689488867
S02_plain_residual_unet,small,24,0.3908594457535209,0.8577970460988299,0.48359642550349236
S03_concat_Mshell,large,24,0.9652455299839088,0.7258176110155014,0.8364323625961939
S03_concat_Mshell,medium,24,0.9676061441175385,0.7243465086473906,0.7999994080999623
S03_concat_Mshell,small,24,0.9063576490084518,0.6691644147722148,0.7842061072587967
S04_concat_Mshell_delta,large,24,0.4448818568069268,0.8697190937902549,0.5293696634471416
S04_concat_Mshell_delta,medium,24,0.44632627683626486,0.8778064330683959,0.5063033473232518
S04_concat_Mshell_delta,small,24,0.4254081897934608,0.8443580993191168,0.50555359510084
S05_concat_Mshell_delta_Pcyc,large,24,0.9986874246965295,0.7210653355660547,0.8517252504825592
S05_concat_Mshell_delta_Pcyc,medium,24,0.9883192907208982,0.7210141534595891,0.8124060475307963
S05_concat_Mshell_delta_Pcyc,small,24,0.9685253949325471,0.6569183625322284,0.8163667991757393
S06_geometry_branch_bottleneck_concat,large,24,0.49826234566914973,0.8551042714168057,0.5716260857880116
S06_geometry_branch_bottleneck_concat,medium,24,0.501401338068801,0.8624008199995322,0.5466726875823477
S06_geometry_branch_bottleneck_concat,small,24,0.47094806175127707,0.8283349932041876,0.5388420155892769
S07_generic_film_middeep,large,24,0.610502295863731,0.8208493616486141,0.6425378794471422
S07_generic_film_middeep,medium,24,0.6181073999602276,0.8278753647012193,0.6157503102136694
S07_generic_film_middeep,small,24,0.5763166998415867,0.7863937143283953,0.6025715954601765
S08_rsbfilm_middeep_default,large,24,0.6164311221295525,0.8191426322338041,0.6462346538901329
S08_rsbfilm_middeep_default,medium,24,0.6243418775351208,0.826093003611095,0.6193699473920076
S08_rsbfilm_middeep_default,small,24,0.5815942346787261,0.7844248266442878,0.6058285981416702
