variant,sample_id,family,nmse,psnr,ssim,runtime_per_sample
S01_ref3,L_shape_test_0000,L-shape,3.0429111770592057,21.339281504715245,0.09227929327432895,0.0
S02_plain_residual_unet,L_shape_test_0000,L-shape,3.32593466008963,20.953036886312265,0.05486502208998843,0.01873248699848773
S03_concat_Mshell,L_shape_test_0000,L-shape,10.9621774300839,15.773205728385653,0.0013078531129048962,0.0010018959983426612
S04_concat_Mshell_delta,L_shape_test_0000,L-shape,2.8592437772003025,21.609662170789473,0.09980052656597914,0.0029408480004349258
S05_concat_Mshell_delta_Pcyc,L_shape_test_0000,L-shape,9.883082735814124,16.223249823776776,0.0015603214715821936,0.002927917998022167
S06_geometry_branch_bottleneck_concat,L_shape_test_0000,L-shape,2.6211143363847427,21.987314370104087,0.10175445321778163,0.003244231000280706
S07_generic_film_middeep,L_shape_test_0000,L-shape,2.552021521196281,22.103330931630886,0.052789027456589394,0.009675215998868225
S08_rsbfilm_middeep_default,L_shape_test_0000,L-shape,2.5152610208577273,22.16634356579275,0.05406428075130538,0.0019791960003203712
S01_ref3,cross_test_0000,cross,10.753727009748326,21.864774348822444,0.06885125524766704,0.0
S02_plain_residual_unet,cross_test_0000,cross,11.862507723108852,21.43859940427188,0.033649187525245525,0.0009904969992931
S03_concat_Mshell,cross_test_0000,cross,39.51300519911162,16.212963947154936,0.001262279755749925,0.0009619589982321486
S04_concat_Mshell_delta,cross_test_0000,cross,10.30784098137201,22.048687581447126,0.07317426827240943,0.0009534489981888328
S05_concat_Mshell_delta_Pcyc,cross_test_0000,cross,37.550911552104466,16.434159684987442,0.0013813464266310361,0.0009571650007274002
S06_geometry_branch_bottleneck_concat,cross_test_0000,cross,8.258822239502107,23.01118350225106,0.08809612896082716,0.0014202439997461624
S07_generic_film_middeep,cross_test_0000,cross,7.405968845875524,23.48454593073475,0.046414368706317766,0.0019241309964854736
S08_rsbfilm_middeep_default,cross_test_0000,cross,7.2306821376945125,23.588571801270668,0.048325398632031426,0.0019110310022369958
S01_ref3,double_line_test_0000,double-line,1.4189561916965179,24.712876898541637,0.32368730959949105,0.0
S02_plain_residual_unet,double_line_test_0000,double-line,1.5905168856865008,24.21718370061296,0.16414135185744635,0.0010404210006527137
S03_concat_Mshell,double_line_test_0000,double-line,11.450610421532181,15.644280380404611,0.001076415690025125,0.0009492099998169579
S04_concat_Mshell_delta,double_line_test_0000,double-line,1.3767427866227002,24.844038462507484,0.33200731111297144,0.0009524910019536037
S05_concat_Mshell_delta_Pcyc,double_line_test_0000,double-line,10.703386223860772,15.937354611232685,0.0012121411620133386,0.0009616569986974355
S06_geometry_branch_bottleneck_concat,double_line_test_0000,double-line,1.3356523355681515,24.975632454240447,0.3123614318495268,0.0014304679971246514
S07_generic_film_middeep,double_line_test_0000,double-line,1.6767249612198463,23.987948128927066,0.10886557824821415,0.0017775160013115965
S08_rsbfilm_middeep_default,double_line_test_0000,double-line,1.661095977161181,24.02861940519748,0.11103806624653902,0.0018824969993147533
S01_ref3,line_test_0000,line,2.3802509444870017,27.07478623842836,0.3825261612118287,0.0
S02_plain_residual_unet,line_test_0000,line,2.788737455747718,26.38693753279435,0.1586557866945991,0.0009799719991860911
S03_concat_Mshell,line_test_0000,line,32.985280216429146,15.657811855372383,0.0012808579492118771,0.0009359840005345177
S04_concat_Mshell_delta,line_test_0000,line,2.2885077914227283,27.245489736484938,0.39240209056632863,0.0009574119976605289
S05_concat_Mshell_delta_Pcyc,line_test_0000,line,30.328063808332537,16.02256698041644,0.0014437891854956163,0.0009521950014459435
S06_geometry_branch_bottleneck_concat,line_test_0000,line,2.143843212694765,27.52908352585105,0.38050377899034116,0.0014136409990896937
S07_generic_film_middeep,line_test_0000,line,3.1264289131557987,25.8905279705778,0.10385677672953478,0.001777041998138884
S08_rsbfilm_middeep_default,line_test_0000,line,3.0802361582237974,25.955173465028878,0.10693645039356071,0.0020338289978099056
S01_ref3,point_cluster_test_0000,point_cluster,13.364726545708512,21.658723684496497,0.08247248450220265,0.0
S02_plain_residual_unet,point_cluster_test_0000,point_cluster,14.878590108824454,21.192706660465916,0.035834364445602555,0.0010110609982802998
S03_concat_Mshell,point_cluster_test_0000,point_cluster,57.95195713132409,15.287643344391473,0.0010998119503505582,0.0010651839984348044
S04_concat_Mshell_delta,point_cluster_test_0000,point_cluster,12.845608144682505,21.83077792838411,0.08686080301157703,0.000984245001745876
S05_concat_Mshell_delta_Pcyc,point_cluster_test_0000,point_cluster,54.530796990857404,15.551905911100611,0.0012239896418481792,0.0009624750018701889
S06_geometry_branch_bottleneck_concat,point_cluster_test_0000,point_cluster,10.56290863320691,22.68048944699869,0.10186736649210926,0.0014225720005924813
S07_generic_film_middeep,point_cluster_test_0000,point_cluster,10.153342595886636,22.852233997333613,0.04519584983206613,0.0017983200013986789
S08_rsbfilm_middeep_default,point_cluster_test_0000,point_cluster,9.936027747136697,22.946196682423885,0.04707741259910382,0.0019068270012212452
S01_ref3,small_rect_edge_test_0000,small_rect_edge,1.856671688444159,27.201516902172813,0.37691903834900436,0.0
S02_plain_residual_unet,small_rect_edge_test_0000,small_rect_edge,2.2133640880227023,26.438339272985086,0.15574075338160193,0.0009346179977001157
