variant,sample_id,bin,nmse,ssim,mae,boundary_band_m
S01_ref3,L_shape_test_0000,small,0.5572870748514476,0.6726437150418749,0.6604185700416565,
S01_ref3,L_shape_test_0000,medium,0.7484784318138465,0.8124667148193371,0.7174999713897705,
S01_ref3,L_shape_test_0000,large,0.7344538799577838,0.6749238131224667,0.7440729737281799,
S02_plain_residual_unet,L_shape_test_0000,small,0.5356551033640256,0.6863557295365226,0.6476823687553406,
S02_plain_residual_unet,L_shape_test_0000,medium,0.708428195476168,0.8228010186683143,0.6979172825813293,
S02_plain_residual_unet,L_shape_test_0000,large,0.6988034359823234,0.6915005385864701,0.7257204651832581,
S03_concat_Mshell,L_shape_test_0000,small,0.9695239205980841,0.4024359916440794,0.8985932469367981,
S03_concat_Mshell,L_shape_test_0000,medium,1.0,0.7480878497927728,0.832329273223877,
S03_concat_Mshell,L_shape_test_0000,large,1.0,0.5532097529698662,0.8720587491989136,
S04_concat_Mshell_delta,L_shape_test_0000,small,0.5731846557102249,0.6619885791337514,0.6713058352470398,
S04_concat_Mshell_delta,L_shape_test_0000,medium,0.7623555796780245,0.8089208991592197,0.7239291667938232,
S04_concat_Mshell_delta,L_shape_test_0000,large,0.7110658491403691,0.6857088123706166,0.7325571775436401,
S05_concat_Mshell_delta_Pcyc,L_shape_test_0000,small,0.9930569777141705,0.3878208809963646,0.910484254360199,
S05_concat_Mshell_delta_Pcyc,L_shape_test_0000,medium,1.0,0.7480878497927728,0.832329273223877,
S05_concat_Mshell_delta_Pcyc,L_shape_test_0000,large,1.0,0.5532097529698662,0.8720587491989136,
S06_geometry_branch_bottleneck_concat,L_shape_test_0000,small,0.6186070565863185,0.631554467650922,0.70148104429245,
S06_geometry_branch_bottleneck_concat,L_shape_test_0000,medium,0.7970158279686762,0.7999678984616461,0.7406964898109436,
S06_geometry_branch_bottleneck_concat,L_shape_test_0000,large,0.7846285361034968,0.6515831298337342,0.7697980403900146,
S07_generic_film_middeep,L_shape_test_0000,small,0.7386839717562593,0.5528515285697116,0.7720993757247925,
S07_generic_film_middeep,L_shape_test_0000,medium,0.9311247665327732,0.7656121559929812,0.8013148307800293,
S07_generic_film_middeep,L_shape_test_0000,large,0.9136604324125767,0.5923079824483752,0.8319739699363708,
S08_rsbfilm_middeep_default,L_shape_test_0000,small,0.7442634843698728,0.5491713439093625,0.7753282785415649,
S08_rsbfilm_middeep_default,L_shape_test_0000,medium,0.9367593719680138,0.764177100406619,0.8037698864936829,
S08_rsbfilm_middeep_default,L_shape_test_0000,large,0.9191779263279123,0.5897912623240835,0.8345822095870972,
S01_ref3,cross_test_0000,small,0.14664575006583497,0.9785210423671081,0.2549315094947815,
S01_ref3,cross_test_0000,medium,0.09871959837376083,0.9797295784365754,0.21319346129894257,
S01_ref3,cross_test_0000,large,0.19121635968164052,0.9706532209775554,0.3879554271697998,
S02_plain_residual_unet,cross_test_0000,small,0.14483904445602788,0.9787920707552038,0.2534787058830261,
S02_plain_residual_unet,cross_test_0000,medium,0.09751135736703742,0.9799854625934313,0.21179528534412384,
S02_plain_residual_unet,cross_test_0000,large,0.18546845758928818,0.9715654760621972,0.3823866844177246,
S03_concat_Mshell,cross_test_0000,small,1.0,0.8443731645547369,0.6701280474662781,
S03_concat_Mshell,cross_test_0000,medium,1.0,0.7702645516190274,0.7728592753410339,
S03_concat_Mshell,cross_test_0000,large,1.0,0.8386580771758199,0.891772985458374,
