variant,seed,bin,n,NMSE,MAE,SSIM
S01_ref3,0,abs_Pcyc_gt_0p25,100,0.4402976824742336,0.5169490514695645,0.8029945951018611
S01_ref3,0,abs_Pcyc_le_0p25,100,0.44243998224600267,0.5215536460434038,0.8885080679614998
S01_ref3,0,large,100,0.44078497680123924,0.5185357535427267,0.8726093137565099
S01_ref3,0,medium,100,0.44076144550164886,0.5192485623061657,0.8745981978473375
S01_ref3,0,small,100,0.446867958091083,0.5206842286139727,0.8664712176443097
S02_plain_residual_unet,0,abs_Pcyc_gt_0p25,100,0.7247592848213013,0.6912508079409599,0.6712478151899133
S02_plain_residual_unet,0,abs_Pcyc_le_0p25,100,0.7254000827064432,0.6943140556824576,0.8161356750778072
S02_plain_residual_unet,0,large,100,0.726759480551506,0.6934514987950373,0.7898917346333847
S02_plain_residual_unet,0,medium,100,0.7261984703574346,0.6939501613378525,0.79388357362815
S02_plain_residual_unet,0,small,100,0.7318985771835554,0.6934544362127781,0.7792400850154335
S02_plain_residual_unet,1,abs_Pcyc_gt_0p25,100,0.9647189969980847,0.8150309014320374,0.571080207113708
S02_plain_residual_unet,1,abs_Pcyc_le_0p25,100,0.9594081578888769,0.8206110713408166,0.7618305854461874
S02_plain_residual_unet,1,large,100,0.9617559862371252,0.8168836392537512,0.7294214672390396
S02_plain_residual_unet,1,medium,100,0.9668854160302829,0.8192846107482911,0.7319286174623818
S02_plain_residual_unet,1,small,100,0.9613938702600973,0.8167286717891693,0.7141097639742978
S02_plain_residual_unet,2,abs_Pcyc_gt_0p25,100,0.9939725247176961,0.8280223280191421,0.5582841155270469
S02_plain_residual_unet,2,abs_Pcyc_le_0p25,100,0.9930245143827108,0.8355798930236974,0.7541019861294407
S02_plain_residual_unet,2,large,100,0.9939240567165396,0.8309185227962456,0.7210397352243588
S02_plain_residual_unet,2,medium,100,0.9942158408770959,0.8312287372350693,0.724258555611275
S02_plain_residual_unet,2,small,100,0.9935368330604283,0.8309561806917191,0.7049844365403571
S03_concat_Mshell,0,abs_Pcyc_gt_0p25,100,0.9873993750700414,0.8252656716108322,0.5611713126508583
S03_concat_Mshell,0,abs_Pcyc_le_0p25,100,0.9861595265125422,0.8326655497256014,0.7558270699802735
S03_concat_Mshell,0,large,100,0.9875622536186606,0.828295754663872,0.7227738104037981
S03_concat_Mshell,0,medium,100,0.9872870346629706,0.8283198654651642,0.7262119943870232
S03_concat_Mshell,0,small,100,0.9866359173284712,0.8280290645360947,0.707054532018755
S04_concat_Mshell_delta,0,abs_Pcyc_gt_0p25,100,0.7085445403355799,0.682249596118927,0.6785884303720882
S04_concat_Mshell_delta,0,abs_Pcyc_le_0p25,100,0.7087144607495176,0.6849718063148027,0.8203645024200114
S04_concat_Mshell_delta,0,large,100,0.7093858010039354,0.6841051479180654,0.7946230985231955
S04_concat_Mshell_delta,0,medium,100,0.709640236724725,0.6849092230200767,0.7981972449669512
S04_concat_Mshell_delta,0,small,100,0.7161053812240519,0.684554496705532,0.7843076383155427
S04_concat_Mshell_delta,1,abs_Pcyc_gt_0p25,100,0.9511600326163223,0.8096102976799011,0.5766696952266561
S04_concat_Mshell_delta,1,abs_Pcyc_le_0p25,100,0.9444700406099611,0.8142252072845537,0.7651749724882958
S04_concat_Mshell_delta,1,large,100,0.949525171226546,0.8118381018590446,0.7330634345067943
S04_concat_Mshell_delta,1,medium,100,0.9557013114605284,0.8146286481618881,0.735463823860765
S04_concat_Mshell_delta,1,small,100,0.9442853366261543,0.8097281932830811,0.7181875753028418
S04_concat_Mshell_delta,2,abs_Pcyc_gt_0p25,100,0.9955190440844581,0.828674173951149,0.5575985973119878
S04_concat_Mshell_delta,2,abs_Pcyc_le_0p25,100,0.9959698668339301,0.836881979839089,0.7537296664482319
S04_concat_Mshell_delta,2,large,100,0.9951707945724474,0.8314681896055588,0.7206019488576288
S04_concat_Mshell_delta,2,medium,100,0.9958889679609021,0.8319329541921615,0.7238545496482469
S04_concat_Mshell_delta,2,small,100,0.9958344439490503,0.8319681119918824,0.70450807106187
S05_concat_Mshell_delta_Pcyc,0,abs_Pcyc_gt_0p25,100,0.991464807180494,0.826948624253273,0.5593256804787028
S05_concat_Mshell_delta_Pcyc,0,abs_Pcyc_le_0p25,100,0.9913470521650415,0.8348650858574307,0.7546189989617709
S05_concat_Mshell_delta_Pcyc,0,large,100,0.9905534212979111,0.8295321452497232,0.7218118169706611
S05_concat_Mshell_delta_Pcyc,0,medium,100,0.9925145422629537,0.8305445212125778,0.724866529130388
S05_concat_Mshell_delta_Pcyc,0,small,100,0.9915590799013546,0.8301854264736176,0.7055547056964012
S05_concat_Mshell_delta_Pcyc,1,abs_Pcyc_gt_0p25,100,0.9799629757818249,0.822077003121376,0.564529607061913
S05_concat_Mshell_delta_Pcyc,1,abs_Pcyc_le_0p25,100,0.977887816342319,0.829146337263363,0.7578917513031577
S05_concat_Mshell_delta_Pcyc,1,large,100,0.9800976562894373,0.824953920311398,0.7249812438392185
S05_concat_Mshell_delta_Pcyc,1,medium,100,0.9804644941016255,0.8254591751098633,0.7282788831110508
S05_concat_Mshell_delta_Pcyc,1,small,100,0.9787931102091768,0.8245977061986923,0.7094935132571868
S05_concat_Mshell_delta_Pcyc,2,abs_Pcyc_gt_0p25,100,0.4402783177518325,0.516936350017786,0.8030037464464592
