variant,seed,bin,n,NMSE,MAE,SSIM
S01_ref3,0,large,100,0.4878995164825933,0.5565777235861981,0.8583564477158363
S01_ref3,0,medium,100,0.4563467931692714,0.5291536153852939,0.8714267755613778
S01_ref3,0,small,100,0.3883340746640965,0.4776955010741949,0.8831360645117715
S02_plain_residual_unet,0,large,100,0.7768630066665938,0.7272695119332786,0.7749119563390888
S02_plain_residual_unet,0,medium,100,0.7413254569501048,0.7024852988123894,0.7902094473982341
S02_plain_residual_unet,0,small,100,0.6698553592077467,0.6557979555428028,0.7979554737790735
S02_plain_residual_unet,1,large,100,0.9698011342287227,0.826256599089112,0.7257401939887502
S02_plain_residual_unet,1,medium,100,0.9640489322457229,0.8171198391914367,0.7338960224710327
S02_plain_residual_unet,1,small,100,0.956692852156778,0.8121976381540299,0.7171177019733396
S02_plain_residual_unet,2,large,100,0.9943934290785572,0.8369589989835565,0.7191082947068419
S02_plain_residual_unet,2,medium,100,0.9939570950847064,0.8301705306768418,0.7256957768620944
S02_plain_residual_unet,2,small,100,0.9929032960894553,0.828016284108162,0.7067706854101377
S03_concat_Mshell,0,large,100,0.9877139214333657,0.8342353629343437,0.7208699505832646
S03_concat_Mshell,0,medium,100,0.9870831628137917,0.8272737389802933,0.7276487997863774
S03_concat_Mshell,0,small,100,0.9862015971805345,0.8252103424072266,0.7088094004266557
S04_concat_Mshell_delta,0,large,100,0.7605051376259488,0.7185885593144581,0.7796489875145977
S04_concat_Mshell_delta,0,medium,100,0.7266603371502549,0.6944451093673706,0.79464017753953
S04_concat_Mshell_delta,0,small,100,0.6522891244162029,0.6457311591506004,0.8028537045498062
S04_concat_Mshell_delta,1,large,100,0.9545961875179692,0.8195921935216345,0.7301064552657087
S04_concat_Mshell_delta,1,medium,100,0.9506900798919805,0.8116277605295181,0.7373089033038214
S04_concat_Mshell_delta,1,small,100,0.9432329988104735,0.8068413323163987,0.7205581170549372
S04_concat_Mshell_delta,2,large,100,0.995091648283363,0.8372786803679033,0.718865216205146
S04_concat_Mshell_delta,2,medium,100,0.9955398319272198,0.8308622020483017,0.7253982038535777
S04_concat_Mshell_delta,2,small,100,0.9959364476250301,0.8293322712182999,0.7059937967792584
S05_concat_Mshell_delta_Pcyc,0,large,100,0.99178755063307,0.8358463121182991,0.7198466376706191
S05_concat_Mshell_delta_Pcyc,0,medium,100,0.9910512124807437,0.8289693659543991,0.7264436630747183
S05_concat_Mshell_delta_Pcyc,0,small,100,0.9918431282738678,0.8275569182634354,0.7072157421308721
S05_concat_Mshell_delta_Pcyc,1,large,100,0.9805549514877596,0.8310255143377516,0.7229539773070051
S05_concat_Mshell_delta_Pcyc,1,medium,100,0.9786981404435751,0.823761682510376,0.72996633103129
S05_concat_Mshell_delta_Pcyc,1,small,100,0.9784474619379259,0.821995764374733,0.7111159068861609
S05_concat_Mshell_delta_Pcyc,2,large,100,0.48787839750763856,0.556564572634119,0.8583626712185608
S05_concat_Mshell_delta_Pcyc,2,medium,100,0.4563267110546683,0.5291404660046101,0.8714326156954932
S05_concat_Mshell_delta_Pcyc,2,small,100,0.3883165723830448,0.4776834590733051,0.8831415448785491
S06_geometry_branch_bottleneck_concat,0,large,100,0.9947702943359322,0.8371430822093078,0.7190036051159419
S06_geometry_branch_bottleneck_concat,0,medium,100,0.9951863262898641,0.8307010734081268,0.7254964683170244
S06_geometry_branch_bottleneck_concat,0,small,100,0.994515129063423,0.8287150210142136,0.7063342311595115
S06_geometry_branch_bottleneck_concat,1,large,100,0.7101862590246971,0.6895107365015781,0.793290722849717
S06_geometry_branch_bottleneck_concat,1,medium,100,0.6726627186438536,0.6629094606637955,0.8091694548634878
S06_geometry_branch_bottleneck_concat,1,small,100,0.5963202786621475,0.6111591632664204,0.8196076465488445
S06_geometry_branch_bottleneck_concat,2,large,100,0.9840001851324778,0.832518822617001,0.7218438458407287
S06_geometry_branch_bottleneck_concat,2,medium,100,0.9816527924796512,0.8249823188781739,0.7290187267662184
S06_geometry_branch_bottleneck_concat,2,small,100,0.9792680959192562,0.8223145067691803,0.7106442869342845
S07_generic_film_middeep,0,large,100,0.9953376181045155,0.8373505310578779,0.7190089933974239
S07_generic_film_middeep,0,medium,100,0.9938688582947335,0.8301550287008286,0.725766705269005
S07_generic_film_middeep,0,small,100,0.9943485506638639,0.8285903036594391,0.7064294173603222
S07_generic_film_middeep,1,large,100,0.9838036802770368,0.8325120066151475,0.7219295246893175
S07_generic_film_middeep,1,medium,100,0.9810702922836453,0.824841285943985,0.7290195955647747
S07_generic_film_middeep,1,small,100,0.9815550476963427,0.8233265942335128,0.7100904003680641
S07_generic_film_middeep,2,large,100,0.9762931309827556,0.8291025625334846,0.7242454991613537
S07_generic_film_middeep,2,medium,100,0.9735859629778638,0.8215246450901031,0.7314124417150919
S07_generic_film_middeep,2,small,100,0.9710827879500233,0.8187958145141602,0.713446569598913
S08_rsbfilm_middeep_default,0,large,100,0.9925180014372624,0.8361327810720964,0.719825163893313
S08_rsbfilm_middeep_default,0,medium,100,0.9907293971001074,0.8288467389345169,0.7266902065468729
S08_rsbfilm_middeep_default,0,small,100,0.9904232684528118,0.8269251692295074,0.7075535791026933
S08_rsbfilm_middeep_default,1,large,100,0.981058457815734,0.8311994948772469,0.7231121637193902
S08_rsbfilm_middeep_default,1,medium,100,0.976143427307858,0.8226442164182663,0.7304910040853234
S08_rsbfilm_middeep_default,1,small,100,0.9777005693525634,0.8215146654844284,0.7115281353217183
S08_rsbfilm_middeep_default,2,large,100,0.9793924648999515,0.8305660432035272,0.7232815310613563
S08_rsbfilm_middeep_default,2,medium,100,0.9766860964754798,0.8229506313800812,0.7303370948655453
S08_rsbfilm_middeep_default,2,small,100,0.9753382776748957,0.8206843990087509,0.7119501623138642
S09_concat_Mshell_delta_Pcyc_sincos,0,large,100,0.9941623144290935,0.8368617223970818,0.7193239709332999
S09_concat_Mshell_delta_Pcyc_sincos,0,medium,100,0.9936375199314854,0.8300648844242096,0.7258272592311878
S09_concat_Mshell_delta_Pcyc_sincos,0,small,100,0.9942871011159551,0.828597583770752,0.7065525316360288
S10_geometry_branch_bottleneck_concat_Pcyc_sincos,0,large,100,0.9989083253168247,0.8388874609060962,0.7179341278441415
S10_geometry_branch_bottleneck_concat_Pcyc_sincos,0,medium,100,0.9989281685211762,0.8322986787557602,0.7244082521084886
S10_geometry_branch_bottleneck_concat_Pcyc_sincos,0,small,100,0.9991034632825406,0.8306374228000641,0.7050249386750541
S11_rsbfilm_Pcyc_sincos,0,large,100,0.9819664693558389,0.8316741760330971,0.7224911618328511
