variant,seed,n,NMSE,MAE,SSIM
S01_ref3,0,100,0.47544972133748314,0.5600506316531788,0.9260246089227241
S02_plain_residual_unet,0,100,0.7757797094311027,0.7360564789988778,0.8757014523429882
S02_plain_residual_unet,1,100,0.9681437570084716,0.8331939448009837,0.8455261949706564
S02_plain_residual_unet,2,100,0.9938450870518042,0.8444770086895336,0.8411493575998221
S03_concat_Mshell,0,100,0.9875829511620788,0.841812603040175,0.8421020569411666
S04_concat_Mshell_delta,0,100,0.758882567610228,0.7273174237121235,0.8785175127395471
S04_concat_Mshell_delta,1,100,0.9542463847352799,0.8271010257981041,0.847608093269174
S04_concat_Mshell_delta,2,100,0.9960747568308846,0.8454145464030179,0.8408538400718765
S05_concat_Mshell_delta_Pcyc,0,100,0.9911417261420576,0.8432609037919478,0.8416842940987105
S05_concat_Mshell_delta_Pcyc,1,100,0.9789224555440921,0.8379878445105119,0.8436143001750455
S05_concat_Mshell_delta_Pcyc,2,100,0.475429161726578,0.5600375722755085,0.9260279923133061
S06_geometry_branch_bottleneck_concat,0,100,0.9946765035689296,0.8448044278404929,0.8409434303325017
S06_geometry_branch_bottleneck_concat,1,100,0.7074097378270817,0.6978608890013261,0.8870250741857578
S06_geometry_branch_bottleneck_concat,2,100,0.9839906725698179,0.840219813043421,0.842799908060356
S07_generic_film_middeep,0,100,0.9947352668005796,0.8448119694536382,0.8410478522764449
S07_generic_film_middeep,1,100,0.9824337053848804,0.8395572196353566,0.8428847743244109
S07_generic_film_middeep,2,100,0.976140876197418,0.8368176330219615,0.8439893074334942
S08_rsbfilm_middeep_default,0,100,0.9918281608772453,0.8435562708161094,0.8415823018254212
S08_rsbfilm_middeep_default,1,100,0.9792679639355304,0.8381304025650025,0.843832690118926
S08_rsbfilm_middeep_default,2,100,0.9784392856331859,0.8378476630557667,0.8436691302373742
S09_concat_Mshell_delta_Pcyc_sincos,0,100,0.9939158742708516,0.8445140632716093,0.8412081064807101
S10_geometry_branch_bottleneck_concat_Pcyc_sincos,0,100,0.9990842009033453,0.846731512113051,0.8402680071105948
S11_rsbfilm_Pcyc_sincos,0,100,0.9822350153129368,0.8393806728449735,0.8432748533331101
