variant,seed,n,support_masked_NMSE,foreground_MAE,background_MAE,high_delta_rho_support_NMSE,high_Pcyc_support_NMSE
S01_ref3,0,100,0.4419935881657284,0.5185503801703453,0.0114142234751489,0.48600697871567944,0.43498842884988614
S02_plain_residual_unet,0,100,0.725769367807709,0.6925886645913124,0.003949279422813561,0.7737926899395877,0.7175546662774195
S02_plain_residual_unet,1,100,0.9638541381309679,0.817688165307045,0.0007870633382117375,0.9693550710411936,0.9627322849224578
S02_plain_residual_unet,2,100,0.9938403888791777,0.831023558974266,9.861748878392973e-05,0.9945746847190574,0.9938762656101143
S03_concat_Mshell,0,100,0.9871518195589867,0.8281980228424072,0.0003774030914064497,0.9878675164998851,0.9878024785964357
S04_concat_Mshell_delta,0,100,0.7094712773282033,0.6835059359669685,0.005140186226926744,0.75772727601148,0.7006212758985767
S04_concat_Mshell_delta,1,100,0.9493361486792355,0.8117501968145371,0.0012537835410330444,0.954128028839643,0.9495218699141524
S04_concat_Mshell_delta,2,100,0.9956793996461257,0.831807296872139,0.0002681248112639878,0.9952932671970917,0.9951499252090302
S05_concat_Mshell_delta_Pcyc,0,100,0.9916863755858017,0.8301087027788162,0.0005590591926011257,0.9917498885545041,0.9908981018841296
S05_concat_Mshell_delta_Pcyc,1,100,0.9796041988767175,0.8249317485094071,0.0002473688005557051,0.9807377402995685,0.9796408474532418
S05_concat_Mshell_delta_Pcyc,2,100,0.4419742559231034,0.5185376957058907,0.01142779406392947,0.485985963819862,0.4349692448730709
S06_geometry_branch_bottleneck_concat,0,100,0.9948374643625831,0.8314512377977371,0.00011930824824958108,0.9947967450833223,0.9945945610923269
S06_geometry_branch_bottleneck_concat,1,100,0.6559916314177893,0.6518053579330444,0.005438703100080602,0.7075489120311264,0.6475424330717992
S06_geometry_branch_bottleneck_concat,2,100,0.9817802611344709,0.8258537477254868,0.0005501849944994319,0.9835675078268916,0.981514213366493
S07_generic_film_middeep,0,100,0.9945848830679924,0.8313213312625884,0.00022078456182498486,0.9953982193942162,0.9940563137841051
S07_generic_film_middeep,1,100,0.9824174245548285,0.826181293129921,0.00046328253563842736,0.9836639059502715,0.9826805224193208
S07_generic_film_middeep,2,100,0.973900374862437,0.8223990368843078,0.002008102156687528,0.975794303497169,0.9731224156028051
S08_rsbfilm_middeep_default,0,100,0.9913019329604228,0.8299206793308258,0.00026445274081197566,0.9926999935791733,0.9904587832745543
S08_rsbfilm_middeep_default,1,100,0.9785269329005222,0.8244446468353271,0.0005678275984246283,0.9806512201145048,0.979360814870672
S08_rsbfilm_middeep_default,2,100,0.9773886205395076,0.8239663702249527,0.0014583045057952404,0.9787751377826153,0.9771688936564733
S09_concat_Mshell_delta_Pcyc_sincos,0,100,0.9941183294801865,0.8311634242534638,0.0001581136654567672,0.9942676392242729,0.9931548445027132
S10_geometry_branch_bottleneck_concat_Pcyc_sincos,0,100,0.998981582540999,0.8332231318950654,0.00015265938636730426,0.9989107752375321,0.9990814199870175
S11_rsbfilm_Pcyc_sincos,0,100,0.9812527192218425,0.8256169748306275,0.0011012296692933887,0.9815042369661551,0.9809230041365788
