variant,seed,parameter_count,checkpoint_local
S01_ref3,0,0,
S02_plain_residual_unet,0,21357,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S02_plain_residual_unet/seed_0/checkpoint_best.pt
S02_plain_residual_unet,1,21357,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S02_plain_residual_unet/seed_1/checkpoint_best.pt
S02_plain_residual_unet,2,21357,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S02_plain_residual_unet/seed_2/checkpoint_best.pt
S03_concat_Mshell,0,21681,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S03_concat_Mshell/seed_0/checkpoint_best.pt
S04_concat_Mshell_delta,0,21789,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S04_concat_Mshell_delta/seed_0/checkpoint_best.pt
S04_concat_Mshell_delta,1,21789,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S04_concat_Mshell_delta/seed_1/checkpoint_best.pt
S04_concat_Mshell_delta,2,21789,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S04_concat_Mshell_delta/seed_2/checkpoint_best.pt
S05_concat_Mshell_delta_Pcyc,0,21897,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S05_concat_Mshell_delta_Pcyc/seed_0/checkpoint_best.pt
S05_concat_Mshell_delta_Pcyc,1,21897,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S05_concat_Mshell_delta_Pcyc/seed_1/checkpoint_best.pt
S05_concat_Mshell_delta_Pcyc,2,21897,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S05_concat_Mshell_delta_Pcyc/seed_2/checkpoint_best.pt
S06_geometry_branch_bottleneck_concat,0,56113,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S06_geometry_branch_bottleneck_concat/seed_0/checkpoint_best.pt
S06_geometry_branch_bottleneck_concat,1,56113,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S06_geometry_branch_bottleneck_concat/seed_1/checkpoint_best.pt
S06_geometry_branch_bottleneck_concat,2,56113,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S06_geometry_branch_bottleneck_concat/seed_2/checkpoint_best.pt
S07_generic_film_middeep,0,36177,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S07_generic_film_middeep/seed_0/checkpoint_best.pt
S07_generic_film_middeep,1,36177,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S07_generic_film_middeep/seed_1/checkpoint_best.pt
S07_generic_film_middeep,2,36177,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S07_generic_film_middeep/seed_2/checkpoint_best.pt
S08_rsbfilm_middeep_default,0,36177,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S08_rsbfilm_middeep_default/seed_0/checkpoint_best.pt
S08_rsbfilm_middeep_default,1,36177,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S08_rsbfilm_middeep_default/seed_1/checkpoint_best.pt
S08_rsbfilm_middeep_default,2,36177,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S08_rsbfilm_middeep_default/seed_2/checkpoint_best.pt
S09_concat_Mshell_delta_Pcyc_sincos,0,22005,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S09_concat_Mshell_delta_Pcyc_sincos/seed_0/checkpoint_best.pt
S10_geometry_branch_bottleneck_concat_Pcyc_sincos,0,56221,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S10_geometry_branch_bottleneck_concat_Pcyc_sincos/seed_0/checkpoint_best.pt
S11_rsbfilm_Pcyc_sincos,0,36285,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S11_rsbfilm_Pcyc_sincos/seed_0/checkpoint_best.pt
