variant,seed,runtime_per_sample
S01_ref3,0,0.0
S02_plain_residual_unet,0,0.0010790022200308157
S02_plain_residual_unet,1,0.0008965415300917812
S02_plain_residual_unet,2,0.0008997607000856079
S03_concat_Mshell,0,0.0009380681601396646
S04_concat_Mshell_delta,0,0.000968144910330011
S04_concat_Mshell_delta,1,0.0009509996700944612
S04_concat_Mshell_delta,2,0.0009526797201760928
S05_concat_Mshell_delta_Pcyc,0,0.0009806079400368616
S05_concat_Mshell_delta_Pcyc,1,0.0009551648200795171
S05_concat_Mshell_delta_Pcyc,2,0.0009603977700317046
S06_geometry_branch_bottleneck_concat,0,0.0014577704797920888
S06_geometry_branch_bottleneck_concat,1,0.001646503819974896
S06_geometry_branch_bottleneck_concat,2,0.0017008848200930516
S07_generic_film_middeep,0,0.002161635769989516
S07_generic_film_middeep,1,0.0017930601098851183
S07_generic_film_middeep,2,0.0018071491697992314
S08_rsbfilm_middeep_default,0,0.001945014649973018
S08_rsbfilm_middeep_default,1,0.0019324478901398834
S08_rsbfilm_middeep_default,2,0.0019292920698717353
S09_concat_Mshell_delta_Pcyc_sincos,0,0.0010011544898952706
S10_geometry_branch_bottleneck_concat_Pcyc_sincos,0,0.0014453520097595174
S11_rsbfilm_Pcyc_sincos,0,0.0019449985400933655
