variant,seed,epoch,train_l1,val_l1,grad_norm_mean,grad_norm_max
S09_concat_Mshell_delta_Pcyc_sincos,0,1,0.01441071814391762,0.007167421746999025,0.5690164053812623,1.2005219459533691
S09_concat_Mshell_delta_Pcyc_sincos,0,2,0.005928390398621559,0.005027109380954733,0.9493984907865525,1.01334547996521
S09_concat_Mshell_delta_Pcyc_sincos,0,3,0.00480684595182538,0.004638601721336062,0.9636354917287826,1.0063101053237915
S09_concat_Mshell_delta_Pcyc_sincos,0,4,0.003911334760487079,0.003671052364202646,0.9384851270914077,1.0061060190200806
S09_concat_Mshell_delta_Pcyc_sincos,0,5,0.003579221509862691,0.003186381063782252,0.9428023654222488,1.0541552305221558
S09_concat_Mshell_delta_Pcyc_sincos,0,6,0.0031674506259150802,0.003289741052028078,0.927639856338501,1.0163750648498535
S09_concat_Mshell_delta_Pcyc_sincos,0,7,0.003065418694168329,0.002939677474877009,0.9371501129865646,1.0301952362060547
S09_concat_Mshell_delta_Pcyc_sincos,0,8,0.0028358326654415577,0.002699708243688712,0.9346437901258469,1.0280311107635498
S09_concat_Mshell_delta_Pcyc_sincos,0,9,0.002683715479215607,0.002567417256963941,0.9298248791694641,1.016692876815796
S09_concat_Mshell_delta_Pcyc_sincos,0,10,0.0027551825542468577,0.0025707830388385514,0.9385383147001266,1.0807404518127441
S09_concat_Mshell_delta_Pcyc_sincos,0,11,0.002464749737409875,0.0023443039524583863,0.9522692912817001,1.0200417041778564
S09_concat_Mshell_delta_Pcyc_sincos,0,12,0.0026051079377066343,0.0024460477109711906,0.9621827042102814,1.1092498302459717
S09_concat_Mshell_delta_Pcyc_sincos,0,13,0.0023700603854376824,0.0022660757038885583,0.9513292926549911,1.0282135009765625
S09_concat_Mshell_delta_Pcyc_sincos,0,14,0.0022429400857072322,0.002203544655528206,0.9495428836345673,1.0195999145507812
S09_concat_Mshell_delta_Pcyc_sincos,0,15,0.002226491905748844,0.0025524790130125787,0.954702519774437,1.0531140565872192
S09_concat_Mshell_delta_Pcyc_sincos,0,16,0.002253398863831535,0.0021744391415268183,0.952175978422165,1.0816521644592285
