variant,seed,status,best_epoch,best_val_l1,parameter_count,checkpoint_local
S01_ref3,0,not_trainable,0,0.0,0,
S02_plain_residual_unet,0,trained,50,0.00560956453689589,21357,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S02_plain_residual_unet/seed_0/checkpoint_best.pt
S02_plain_residual_unet,1,trained,44,0.002757738962268027,21357,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S02_plain_residual_unet/seed_1/checkpoint_best.pt
S02_plain_residual_unet,2,trained,50,0.0015583917086657423,21357,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S02_plain_residual_unet/seed_2/checkpoint_best.pt
S03_concat_Mshell,0,trained,49,0.002550319598342937,21681,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S03_concat_Mshell/seed_0/checkpoint_best.pt
S04_concat_Mshell_delta,0,trained,49,0.006751617273459068,21789,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S04_concat_Mshell_delta/seed_0/checkpoint_best.pt
S04_concat_Mshell_delta,1,trained,48,0.0031340512303778757,21789,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S04_concat_Mshell_delta/seed_1/checkpoint_best.pt
S04_concat_Mshell_delta,2,trained,50,0.0027854835990673075,21789,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S04_concat_Mshell_delta/seed_2/checkpoint_best.pt
S05_concat_Mshell_delta_Pcyc,0,trained,50,0.0033693911615186012,21897,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S05_concat_Mshell_delta_Pcyc/seed_0/checkpoint_best.pt
S05_concat_Mshell_delta_Pcyc,1,trained,40,0.001604379118921665,21897,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S05_concat_Mshell_delta_Pcyc/seed_1/checkpoint_best.pt
S05_concat_Mshell_delta_Pcyc,2,trained,11,0.012041016911657957,21897,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S05_concat_Mshell_delta_Pcyc/seed_2/checkpoint_best.pt
S06_geometry_branch_bottleneck_concat,0,trained,40,0.001476848789025098,56113,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S06_geometry_branch_bottleneck_concat/seed_0/checkpoint_best.pt
S06_geometry_branch_bottleneck_concat,1,trained,46,0.00685281646796144,56113,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S06_geometry_branch_bottleneck_concat/seed_1/checkpoint_best.pt
S06_geometry_branch_bottleneck_concat,2,trained,39,0.0022196734521108177,56113,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S06_geometry_branch_bottleneck_concat/seed_2/checkpoint_best.pt
S07_generic_film_middeep,0,trained,48,0.0018442257558210539,36177,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S07_generic_film_middeep/seed_0/checkpoint_best.pt
S07_generic_film_middeep,1,trained,48,0.0020361348914985475,36177,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S07_generic_film_middeep/seed_1/checkpoint_best.pt
S07_generic_film_middeep,2,trained,50,0.0038930284969795207,36177,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S07_generic_film_middeep/seed_2/checkpoint_best.pt
S08_rsbfilm_middeep_default,0,trained,46,0.001830069778057245,36177,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S08_rsbfilm_middeep_default/seed_0/checkpoint_best.pt
S08_rsbfilm_middeep_default,1,trained,42,0.0021635924483864354,36177,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S08_rsbfilm_middeep_default/seed_1/checkpoint_best.pt
S08_rsbfilm_middeep_default,2,trained,38,0.003297875295034968,36177,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S08_rsbfilm_middeep_default/seed_2/checkpoint_best.pt
S09_concat_Mshell_delta_Pcyc_sincos,0,trained,43,0.0015676384254430349,22005,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S09_concat_Mshell_delta_Pcyc_sincos/seed_0/checkpoint_best.pt
S10_geometry_branch_bottleneck_concat_Pcyc_sincos,0,trained,38,0.0015695987609573281,56221,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S10_geometry_branch_bottleneck_concat_Pcyc_sincos/seed_0/checkpoint_best.pt
S11_rsbfilm_Pcyc_sincos,0,trained,50,0.0033682361961557316,36285,exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner/checkpoints/S11_rsbfilm_Pcyc_sincos/seed_0/checkpoint_best.pt
