variant,seed,bin,n,NMSE,MAE,SSIM
P00_rsbfilm_scalar_Pcyc,0,large,100,0.9965353288873667,0.8378527296913995,0.7186221187739416
P00_rsbfilm_scalar_Pcyc,0,medium,100,0.9955762447457979,0.8308752208948136,0.7253624430922673
P00_rsbfilm_scalar_Pcyc,0,small,100,0.9953419021829767,0.8290166062116623,0.7060842082148558
P00_rsbfilm_scalar_Pcyc,1,large,100,0.9846805314776239,0.8327323095967071,0.7220948088368696
P00_rsbfilm_scalar_Pcyc,1,medium,100,0.9805617662655393,0.8245119678974152,0.7294262073955751
P00_rsbfilm_scalar_Pcyc,1,small,100,0.9819421614298779,0.8233415025472641,0.7102400263563077
P00_rsbfilm_scalar_Pcyc,2,large,100,0.9869501837810292,0.8335937255560749,0.7215903461171355
P00_rsbfilm_scalar_Pcyc,2,medium,100,0.9853666582179776,0.8264963519573212,0.7284396479623715
P00_rsbfilm_scalar_Pcyc,2,small,100,0.9836823068280747,0.8241055315732956,0.7099546642933606
P01_rsbfilm_no_Pcyc,0,large,100,0.975611099805502,0.8289656175507439,0.7242649566606708
P01_rsbfilm_no_Pcyc,0,medium,100,0.9728556458042931,0.8213573813438415,0.7313786819599577
P01_rsbfilm_no_Pcyc,0,small,100,0.9700193449714648,0.8183081132173539,0.7133197279155915
P01_rsbfilm_no_Pcyc,1,large,100,0.48790947929145734,0.5565839305971608,0.8583535126980416
P01_rsbfilm_no_Pcyc,1,medium,100,0.45635626706042953,0.5291598282754422,0.8714240211184406
P01_rsbfilm_no_Pcyc,1,small,100,0.38834232917078154,0.477701183706522,0.8831334791610874
P01_rsbfilm_no_Pcyc,2,large,100,0.9934009340305787,0.8365501647043709,0.7195408144923499
P01_rsbfilm_no_Pcyc,2,medium,100,0.991313248892135,0.8291089588403702,0.7264642070968417
P01_rsbfilm_no_Pcyc,2,small,100,0.9914338351001277,0.8274210339784622,0.707350899842361
P02_rsbfilm_sincos_Pcyc,0,large,100,0.9901495979481716,0.835170567035675,0.7201704665450026
P02_rsbfilm_sincos_Pcyc,0,medium,100,0.9893965677931341,0.8282867801189423,0.7268558904937563
P02_rsbfilm_sincos_Pcyc,0,small,100,0.9884117289714172,0.8261349380016327,0.7079905527162026
P02_rsbfilm_sincos_Pcyc,1,large,100,0.997234671037975,0.8381816118654578,0.7184265817957101
P02_rsbfilm_sincos_Pcyc,1,medium,100,0.9970848724908236,0.8315098249912262,0.7249029970426842
P02_rsbfilm_sincos_Pcyc,1,small,100,0.9970344070296422,0.8297931981086731,0.7056515198216612
P02_rsbfilm_sincos_Pcyc,2,large,100,0.9903464510785055,0.8353333437081539,0.7202042897025194
P02_rsbfilm_sincos_Pcyc,2,medium,100,0.9898294792473059,0.8284571397304535,0.7269360519200094
P02_rsbfilm_sincos_Pcyc,2,small,100,0.9894124819853315,0.8265504711866378,0.7078928715805557
P03_rsbfilm_scalar_plus_sincos_Pcyc,0,large,100,0.9963974435755135,0.837833624295514,0.7186079627806747
