variant,seed,n,NMSE,MAE,SSIM
P00_rsbfilm_scalar_Pcyc,0,100,0.9958372164438103,0.8452953381971879,0.8408794146601859
P00_rsbfilm_scalar_Pcyc,1,100,0.9834889419032125,0.8399329348043962,0.8431505449080541
P00_rsbfilm_scalar_Pcyc,2,100,0.9879391210305596,0.8418936469338157,0.8423366919324597
P01_rsbfilm_no_Pcyc,0,100,0.9742040152572811,0.8359074104915966,0.8443652253947137
P01_rsbfilm_no_Pcyc,1,100,0.47545942665213475,0.560056804526936,0.926023013222601
P01_rsbfilm_no_Pcyc,2,100,0.993375353618491,0.8442785588177768,0.8413116547255473
P02_rsbfilm_sincos_Pcyc,0,100,0.9902907101812853,0.8428819970651107,0.8419425855571299
P02_rsbfilm_sincos_Pcyc,1,100,0.9969087755840251,0.8458033052357761,0.8406005938178565
P02_rsbfilm_sincos_Pcyc,2,100,0.9907895218550581,0.8432299668138677,0.8419036320560344
P03_rsbfilm_scalar_plus_sincos_Pcyc,0,100,0.9964370804139222,0.8455958951603283,0.8407340584552476
P03_rsbfilm_scalar_plus_sincos_Pcyc,1,100,0.9815843638459317,0.839176082611084,0.8433167471752696
P03_rsbfilm_scalar_plus_sincos_Pcyc,2,100,0.4754363060474393,0.56004211360758,0.9260268178581742
P04_generic_film_scalar_Pcyc,0,100,0.9946356003001069,0.8447784673083912,0.8410745690667855
P04_generic_film_scalar_Pcyc,1,100,0.9805821784247534,0.8387300848960877,0.8435374434595735
P04_generic_film_scalar_Pcyc,2,100,0.9830635502903954,0.8396504694765264,0.8435166479008557
P05_generic_film_sincos_Pcyc,0,100,0.9889884809895192,0.8423087521032854,0.8422766245385624
P05_generic_film_sincos_Pcyc,1,100,0.9893312295805139,0.842530176856301,0.8419869972836469
P05_generic_film_sincos_Pcyc,2,100,0.9809492918053592,0.8388672005046498,0.8432988174516005
P06_concat_scalar_plus_sincos_Pcyc,0,100,0.9873508405728035,0.841636434468356,0.8422095047137437
P06_concat_scalar_plus_sincos_Pcyc,1,100,0.9113980364297195,0.8063147804953835,0.8539310420416613
P06_concat_scalar_plus_sincos_Pcyc,2,100,0.7189678234478449,0.7047863272103396,0.8853941229665613
