variant,seed,parameter_count,peak_gpu_memory_mb,checkpoint_local
P00_rsbfilm_scalar_Pcyc,0,36177,150.79248046875,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P00_rsbfilm_scalar_Pcyc/seed_0/checkpoint_best.pt
P00_rsbfilm_scalar_Pcyc,1,36177,150.79248046875,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P00_rsbfilm_scalar_Pcyc/seed_1/checkpoint_best.pt
P00_rsbfilm_scalar_Pcyc,2,36177,150.79248046875,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P00_rsbfilm_scalar_Pcyc/seed_2/checkpoint_best.pt
P01_rsbfilm_no_Pcyc,0,36069,150.369140625,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P01_rsbfilm_no_Pcyc/seed_0/checkpoint_best.pt
P01_rsbfilm_no_Pcyc,1,36069,150.369140625,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P01_rsbfilm_no_Pcyc/seed_1/checkpoint_best.pt
P01_rsbfilm_no_Pcyc,2,36069,150.369140625,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P01_rsbfilm_no_Pcyc/seed_2/checkpoint_best.pt
P02_rsbfilm_sincos_Pcyc,0,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P02_rsbfilm_sincos_Pcyc/seed_0/checkpoint_best.pt
P02_rsbfilm_sincos_Pcyc,1,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P02_rsbfilm_sincos_Pcyc/seed_1/checkpoint_best.pt
P02_rsbfilm_sincos_Pcyc,2,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P02_rsbfilm_sincos_Pcyc/seed_2/checkpoint_best.pt
P03_rsbfilm_scalar_plus_sincos_Pcyc,0,36393,151.6376953125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P03_rsbfilm_scalar_plus_sincos_Pcyc/seed_0/checkpoint_best.pt
P03_rsbfilm_scalar_plus_sincos_Pcyc,1,36393,151.6376953125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P03_rsbfilm_scalar_plus_sincos_Pcyc/seed_1/checkpoint_best.pt
P03_rsbfilm_scalar_plus_sincos_Pcyc,2,36393,151.6376953125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P03_rsbfilm_scalar_plus_sincos_Pcyc/seed_2/checkpoint_best.pt
P04_generic_film_scalar_Pcyc,0,36177,150.62060546875,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P04_generic_film_scalar_Pcyc/seed_0/checkpoint_best.pt
P04_generic_film_scalar_Pcyc,1,36177,150.62060546875,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P04_generic_film_scalar_Pcyc/seed_1/checkpoint_best.pt
P04_generic_film_scalar_Pcyc,2,36177,150.62060546875,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P04_generic_film_scalar_Pcyc/seed_2/checkpoint_best.pt
P05_generic_film_sincos_Pcyc,0,36285,151.0439453125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P05_generic_film_sincos_Pcyc/seed_0/checkpoint_best.pt
P05_generic_film_sincos_Pcyc,1,36285,151.0439453125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P05_generic_film_sincos_Pcyc/seed_1/checkpoint_best.pt
P05_generic_film_sincos_Pcyc,2,36285,151.0439453125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P05_generic_film_sincos_Pcyc/seed_2/checkpoint_best.pt
