variant,seed,runtime_per_sample,speedup_vs_BP
P00_rsbfilm_scalar_Pcyc,0,0.0023826742498204113,
P00_rsbfilm_scalar_Pcyc,1,0.0019686758998432195,
P00_rsbfilm_scalar_Pcyc,2,0.0019545399396156426,
P01_rsbfilm_no_Pcyc,0,0.0019337787704716903,
P01_rsbfilm_no_Pcyc,1,0.0019321487697015983,
P01_rsbfilm_no_Pcyc,2,0.0019595391799521167,
P02_rsbfilm_sincos_Pcyc,0,0.0019625695403374267,
P02_rsbfilm_sincos_Pcyc,1,0.002354885560052935,
P02_rsbfilm_sincos_Pcyc,2,0.0019010138700832613,
P03_rsbfilm_scalar_plus_sincos_Pcyc,0,0.0019475987495388835,
P03_rsbfilm_scalar_plus_sincos_Pcyc,1,0.0019129081601568032,
P03_rsbfilm_scalar_plus_sincos_Pcyc,2,0.001906414310215041,
P04_generic_film_scalar_Pcyc,0,0.0017807800293667241,
P04_generic_film_scalar_Pcyc,1,0.0018126502408995293,
P04_generic_film_scalar_Pcyc,2,0.0018187544604006689,
P05_generic_film_sincos_Pcyc,0,0.0018138840098981745,
P05_generic_film_sincos_Pcyc,1,0.001821861049393192,
P05_generic_film_sincos_Pcyc,2,0.0018317927794123535,
P06_concat_scalar_plus_sincos_Pcyc,0,0.0009699477005051449,
P06_concat_scalar_plus_sincos_Pcyc,1,0.0009778563588042743,
P06_concat_scalar_plus_sincos_Pcyc,2,0.0009840214099676814,
