variant,seed,status,best_epoch,best_val_l1,parameter_count,peak_gpu_memory_mb,checkpoint_local
P00_rsbfilm_scalar_Pcyc,0,trained,50,0.001940216484049765,36177,150.79248046875,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P00_rsbfilm_scalar_Pcyc/seed_0/checkpoint_best.pt
P00_rsbfilm_scalar_Pcyc,1,trained,46,0.0020216396705319104,36177,150.79248046875,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P00_rsbfilm_scalar_Pcyc/seed_1/checkpoint_best.pt
P00_rsbfilm_scalar_Pcyc,2,trained,40,0.0038838447250712374,36177,150.79248046875,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P00_rsbfilm_scalar_Pcyc/seed_2/checkpoint_best.pt
P01_rsbfilm_no_Pcyc,0,trained,47,0.002669268726514509,36069,150.369140625,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P01_rsbfilm_no_Pcyc/seed_0/checkpoint_best.pt
P01_rsbfilm_no_Pcyc,1,trained,7,0.012032934930175543,36069,150.369140625,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P01_rsbfilm_no_Pcyc/seed_1/checkpoint_best.pt
P01_rsbfilm_no_Pcyc,2,trained,45,0.0014863188351647784,36069,150.369140625,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P01_rsbfilm_no_Pcyc/seed_2/checkpoint_best.pt
P02_rsbfilm_sincos_Pcyc,0,trained,49,0.003305216087028384,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P02_rsbfilm_sincos_Pcyc/seed_0/checkpoint_best.pt
P02_rsbfilm_sincos_Pcyc,1,trained,44,0.001580251559901696,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P02_rsbfilm_sincos_Pcyc/seed_1/checkpoint_best.pt
P02_rsbfilm_sincos_Pcyc,2,trained,49,0.001867571621775054,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P02_rsbfilm_sincos_Pcyc/seed_2/checkpoint_best.pt
P03_rsbfilm_scalar_plus_sincos_Pcyc,0,trained,48,0.0018370630165848595,36393,151.6376953125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P03_rsbfilm_scalar_plus_sincos_Pcyc/seed_0/checkpoint_best.pt
P03_rsbfilm_scalar_plus_sincos_Pcyc,1,trained,44,0.0025308416225016117,36393,151.6376953125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P03_rsbfilm_scalar_plus_sincos_Pcyc/seed_1/checkpoint_best.pt
P03_rsbfilm_scalar_plus_sincos_Pcyc,2,trained,5,0.012036159025648465,36393,151.6376953125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P03_rsbfilm_scalar_plus_sincos_Pcyc/seed_2/checkpoint_best.pt
P04_generic_film_scalar_Pcyc,0,trained,47,0.00189438911799628,36177,150.62060546875,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P04_generic_film_scalar_Pcyc/seed_0/checkpoint_best.pt
P04_generic_film_scalar_Pcyc,1,trained,50,0.0025844692449586894,36177,150.62060546875,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002a_pcyc_encoding_ablation/20260516_094012/checkpoints/P04_generic_film_scalar_Pcyc/seed_1/checkpoint_best.pt
