variant,seed,bin,n,NMSE,MAE,SSIM
F01_bounded_generic_film,0,large,100,0.9912302507042038,0.8356533189012547,0.719934437238275
F01_bounded_generic_film,0,medium,100,0.9900277280909667,0.8285467123985291,0.7267391902156016
F01_bounded_generic_film,0,small,100,0.9902630842086461,0.8268784606456756,0.7075759508857503
F01_bounded_generic_film,1,large,100,0.9975292282534405,0.838299036026001,0.7183385390353355
F01_bounded_generic_film,1,medium,100,0.9970413345576915,0.8315008288621902,0.7249345354945005
F01_bounded_generic_film,1,small,100,0.9970432134260523,0.8297432720661163,0.7056512192913326
F01_bounded_generic_film,2,large,100,0.992063141294957,0.8359502716497942,0.7199867590511794
F01_bounded_generic_film,2,medium,100,0.9909422913030999,0.8289528495073318,0.7267685404063912
F01_bounded_generic_film,2,small,100,0.9906494996861417,0.8270327568054199,0.7076730978411411
F02_residual_film_gate,0,large,100,0.9872022501833176,0.8339075909720527,0.7211110613728821
F02_residual_film_gate,0,medium,100,0.9861753501286289,0.8269360548257828,0.7281064526182136
F02_residual_film_gate,0,small,100,0.9847363720448348,0.8245935004949569,0.7093412769099359
F02_residual_film_gate,1,large,100,0.9899853419035055,0.835053188632233,0.7202926121115238
F02_residual_film_gate,1,medium,100,0.9898892392513672,0.8284741127490998,0.7266868347490828
F02_residual_film_gate,1,small,100,0.9889860556377975,0.8262890666723252,0.7079549810201378
F02_residual_film_gate,2,large,100,0.9961962718120447,0.8377185343491911,0.7187801196191462
F02_residual_film_gate,2,medium,100,0.9948450106411681,0.8305684280395508,0.7256117455244369
F02_residual_film_gate,2,small,100,0.9953595695091834,0.8290737909078598,0.7062527966003921
F03_reference_surface_gated_film,0,large,100,0.9890645988516324,0.8347225243395026,0.7205329391464076
F03_reference_surface_gated_film,0,medium,100,0.988849297863539,0.8280906867980957,0.7273138031549296
F03_reference_surface_gated_film,0,small,100,0.9870475000320519,0.8255844950675965,0.708601227829096
F03_reference_surface_gated_film,1,large,100,0.985784338388104,0.8332545384012088,0.7213093264314836
F03_reference_surface_gated_film,1,medium,100,0.9851920543877861,0.8265114277601242,0.7280211674130023
F03_reference_surface_gated_film,1,small,100,0.9851445526317417,0.8247421544790268,0.709170060290875
F03_reference_surface_gated_film,2,large,100,0.9962628563442327,0.8377727848110776,0.7186749607343657
F03_reference_surface_gated_film,2,medium,100,0.9958553510321424,0.8309978657960891,0.725324354563003
F03_reference_surface_gated_film,2,small,100,0.9952535385963701,0.8290200191736221,0.7061607469012139
F04_dual_path_film,0,large,100,0.9914277371415064,0.8356208006540934,0.7200008832621879
F04_dual_path_film,0,medium,100,0.991919485794984,0.8293779331445694,0.7263916082224406
F04_dual_path_film,0,small,100,0.99061409117762,0.8270137387514115,0.7075226613058605
F04_dual_path_film,1,large,100,0.9639480128240444,0.823977368046539,0.7270531322365258
F04_dual_path_film,1,medium,100,0.9593184583747071,0.8153134512901307,0.7350029845187319
F04_dual_path_film,1,small,100,0.9429023915320391,0.80627370595932,0.7210874855393458
F04_dual_path_film,2,large,100,0.9636839995487838,0.8237887669091273,0.7272270968229024
F04_dual_path_film,2,medium,100,0.9580929589854524,0.8148960143327713,0.7351673936774209
F04_dual_path_film,2,small,100,0.9543095573560856,0.8116651195287704,0.7173507781997288
F05_delta_conditioned_film,0,large,100,0.991743439258108,0.8358600994553229,0.7197552979911065
F05_delta_conditioned_film,0,medium,100,0.9901562730373129,0.8286124241352081,0.7266554624880122
F05_delta_conditioned_film,0,small,100,0.9891200266880407,0.8264201486110687,0.7078767170565547
F05_delta_conditioned_film,1,large,100,0.9915724856650404,0.8357336472983312,0.7199948309432509
F05_delta_conditioned_film,1,medium,100,0.9895462870609204,0.828351331949234,0.7267947691563412
F05_delta_conditioned_film,1,small,100,0.9901102690048869,0.826890275478363,0.7077461537070299
F05_delta_conditioned_film,2,large,100,0.9888140636497968,0.8346136645837263,0.7206787167077897
F05_delta_conditioned_film,2,medium,100,0.9879397085057859,0.8276702535152435,0.7273430233889157
F05_delta_conditioned_film,2,small,100,0.9877400033864663,0.8258812260627747,0.7081809665111239
G00_generic_film_sincos_Pcyc,0,large,100,0.985952735844549,0.8333785112458046,0.7213085165708947
G00_generic_film_sincos_Pcyc,0,medium,100,0.9845018359313478,0.8262035918235778,0.7281091063766819
G00_generic_film_sincos_Pcyc,0,small,100,0.9849538503836903,0.8246810901165008,0.709163467525582
G00_generic_film_sincos_Pcyc,1,large,100,0.990741080011085,0.8354952804970018,0.7201696021655399
G00_generic_film_sincos_Pcyc,1,medium,100,0.9906214004279441,0.8288316875696182,0.7267450033592594
G00_generic_film_sincos_Pcyc,1,small,100,0.9899561696108867,0.8268203186988831,0.7077522889714436
G00_generic_film_sincos_Pcyc,2,large,100,0.9846912247195269,0.8328168813628379,0.72188648873511
G00_generic_film_sincos_Pcyc,2,medium,100,0.9826927061481706,0.8254843026399612,0.7288466172530572
G00_generic_film_sincos_Pcyc,2,small,100,0.981633120539215,0.8232394516468048,0.7101521702672777
G01_generic_film_scalar_Pcyc,0,large,100,0.9927839491709664,0.8362631135516696,0.7196949943082429
