variant,seed,family,n,NMSE,PSNR,SSIM
F01_bounded_generic_film,0,L-shape,20,1.0118401744029224,28.242461359631882,0.3787340752293471
F01_bounded_generic_film,0,cross,15,1.0189499944257174,29.892435467797203,0.47091389492010033
F01_bounded_generic_film,0,double-line,15,1.0074263598798663,27.366568397398396,0.33307119835771115
F01_bounded_generic_film,0,line,20,1.0258702358338045,30.55956360945662,0.5058293127552695
F01_bounded_generic_film,0,point_cluster,20,1.0763695856816546,33.67707811656671,0.6853242622732294
F01_bounded_generic_film,0,small_rect_edge,10,1.0184292227063292,29.5099052835434,0.4483672003553615
F01_bounded_generic_film,1,L-shape,20,0.9969667209179608,28.306446202037343,0.3741061319860346
F01_bounded_generic_film,1,cross,15,0.9980654405165867,29.981788895594846,0.46821378117315626
F01_bounded_generic_film,1,double-line,15,0.998056291717543,27.40691327682914,0.3252225069987754
F01_bounded_generic_film,1,line,20,1.001149413718396,30.664524153129786,0.5063593378282659
F01_bounded_generic_film,1,point_cluster,20,1.0036682247289361,33.977574427804775,0.6988516085646994
F01_bounded_generic_film,1,small_rect_edge,10,0.9997532075863178,29.590208626475402,0.44786027927156324
F01_bounded_generic_film,2,L-shape,20,0.9916709829186662,28.329613957240895,0.3787230266306081
F01_bounded_generic_film,2,cross,15,0.9923452516253758,30.006759604352535,0.47232759190588103
F01_bounded_generic_film,2,double-line,15,0.9914294071722954,27.43591577390306,0.3309053092463531
F01_bounded_generic_film,2,line,20,0.9929944264702542,30.699823451833197,0.5105775266700746
F01_bounded_generic_film,2,point_cluster,20,1.0014773962875647,33.98710400325089,0.6999891946935006
F01_bounded_generic_film,2,small_rect_edge,10,0.9928806561308378,29.6201845357867,0.4521564392912378
F02_residual_film_gate,0,L-shape,20,0.9874160693750923,28.348273838737754,0.38465479624433996
F02_residual_film_gate,0,cross,15,0.9898904960628816,30.01752058468834,0.47656057922310935
F02_residual_film_gate,0,double-line,15,0.9870730663968142,27.45501326975406,0.3371842032480804
F02_residual_film_gate,0,line,20,0.9891129709443212,30.71684757127421,0.514593071799396
F02_residual_film_gate,0,point_cluster,20,0.9987421264575363,33.99889560249375,0.701339713220112
F02_residual_film_gate,0,small_rect_edge,10,0.9897679199445157,29.633818284194938,0.45629729062759916
