variant,seed,n,NMSE,MAE,SSIM
F01_bounded_generic_film,0,100,0.99212193604416,0.843699446591464,0.8416879777933768
F01_bounded_generic_film,1,100,0.9972740981433688,0.845958330414512,0.8405587095821571
F01_bounded_generic_film,2,100,0.9906882594573928,0.8430836038155989,0.8416394427041517
F02_residual_film_gate,0,100,0.9872078416482709,0.8415484894405711,0.8423123897281691
F02_residual_film_gate,1,100,0.99024358173549,0.8428547685796565,0.8418093212393367
F02_residual_film_gate,2,100,0.995561148529415,0.8452109748666937,0.8408974539724977
F03_reference_surface_gated_film,0,100,0.9894182341416218,0.8425636085596951,0.8418872265768517
F03_reference_surface_gated_film,1,100,0.9861130003864179,0.840945303440094,0.8427464186454777
F03_reference_surface_gated_film,2,100,0.9962782205699319,0.8455083619464527,0.8407236637568638
F04_dual_path_film,0,100,0.9916491567116801,0.8434063922275197,0.8415643589045197
F04_dual_path_film,1,100,0.9639434948859499,0.8312566724690524,0.8458423269829077
F04_dual_path_film,2,100,0.9586888232892354,0.8293357079679315,0.8467384155323991
F05_delta_conditioned_film,0,100,0.9933356427031754,0.8442263397303494,0.841428891929411
F05_delta_conditioned_film,1,100,0.9909110232056508,0.8432206749916077,0.8416032126915317
F05_delta_conditioned_film,2,100,0.9874985855405644,0.8417539553208785,0.842100847998472
G00_generic_film_sincos_Pcyc,0,100,0.986770879778037,0.8413397474722428,0.8426186873967239
G00_generic_film_sincos_Pcyc,1,100,0.9907774128965238,0.8431691960854963,0.8417110542445312
G00_generic_film_sincos_Pcyc,2,100,0.9838489088716945,0.8402166713367809,0.8426700152826282
G01_generic_film_scalar_Pcyc,0,100,0.9917872311964399,0.8435693144798279,0.8415652009797099
G01_generic_film_scalar_Pcyc,1,100,0.9945021951987096,0.8447192332961343,0.8412405830596498
G01_generic_film_scalar_Pcyc,2,100,0.9949410007595995,0.8449157563122836,0.8410848202803435
R00_rsbfilm_sincos_env_absPcyc,0,100,0.9557062197028513,0.8278136806054549,0.8474597458104047
R00_rsbfilm_sincos_env_absPcyc,1,100,0.9940837384104374,0.8445827559991317,0.8410805136905579
R00_rsbfilm_sincos_env_absPcyc,2,100,0.985023907264098,0.8406977187503468,0.8426394347319794
R01_rsbfilm_env_absDelta,0,100,0.9920598800851296,0.843663034655831,0.8416418389238737
R01_rsbfilm_env_absDelta,1,100,0.993861436857524,0.8444930011575872,0.8411830719315435
R01_rsbfilm_env_absDelta,2,100,0.991728908394233,0.8435914158821106,0.8414836435536397
R02_rsbfilm_env_maxPcycDelta,0,100,0.992680731126078,0.8439396598122336,0.841539007240934
R02_rsbfilm_env_maxPcycDelta,1,100,0.9927918566346867,0.8440522659908641,0.8413434350167666
R02_rsbfilm_env_maxPcycDelta,2,100,0.9917403230158452,0.843581007827412,0.8415648684882295
R03_rsbfilm_env_avgPcycDelta,0,100,0.9894334666921717,0.8425205295736139,0.8421228186159159
R03_rsbfilm_env_avgPcycDelta,1,100,0.9850339674161299,0.8406603553078391,0.842633626603404
R03_rsbfilm_env_avgPcycDelta,2,100,0.9814783645774777,0.8391825784336436,0.8431697943920814
R04_rsbfilm_env_productPcycDelta,0,100,0.9891870375472689,0.842388653755188,0.8421569816425278
R04_rsbfilm_env_productPcycDelta,1,100,0.9810498342022888,0.8389977173371749,0.8433169388905752
R04_rsbfilm_env_productPcycDelta,2,100,0.9938718206344079,0.8444573792544279,0.8411842903355103
R05_rsbfilm_env_softPcyc,0,100,0.9795907662344473,0.8382129680026661,0.8438051499124876
R05_rsbfilm_env_softPcyc,1,100,0.997977020025196,0.8462682073766535,0.8404317587291608
R05_rsbfilm_env_softPcyc,2,100,0.9893883713429295,0.8425631403923035,0.8418374485249109
