variant,seed,NMSE,PSNR,SSIM,MAE,runtime_per_sample,speedup_vs_BP,parameter_count,peak_gpu_memory_mb,best_epoch
G00_generic_film_sincos_Pcyc,0,1.0281231483638649,30.038231050661526,0.4802146059958152,0.0029642628983128816,0.002016861700685695,,36285,149.568359375,44
G00_generic_film_sincos_Pcyc,1,0.9930652934878883,30.186147469733534,0.48330015175087837,0.001582129153830465,0.001778583839914063,,36285,149.568359375,32
G00_generic_film_sincos_Pcyc,2,0.9859628564330265,30.217341978633737,0.4878757656076377,0.001684693224087823,0.0017474678695725743,,36285,149.568359375,50
G01_generic_film_scalar_Pcyc,0,0.9951044627221407,30.177219967651162,0.48405548156116973,0.0018036286477581599,0.0017704233594122343,,36177,149.14501953125,41
G01_generic_film_scalar_Pcyc,1,0.9993783713488142,30.158644995370974,0.482538323605462,0.001803411157161463,0.00216146481980104,,36177,149.14501953125,49
G01_generic_film_scalar_Pcyc,2,1.0270226659900072,30.041773377197806,0.47869716917391814,0.002300218129530549,0.0017780616211530286,,36177,149.14501953125,45
R00_rsbfilm_sincos_env_absPcyc,0,1.012155639208993,30.10850634956627,0.49107333843434486,0.0031848732591606677,0.001959408340335358,,36285,151.2158203125,50
R00_rsbfilm_sincos_env_absPcyc,1,0.9970935529921344,30.168603973060364,0.4811774759040561,0.0015618811317835934,0.0019552557895076463,,36285,151.2158203125,46
R00_rsbfilm_sincos_env_absPcyc,2,0.9873309133755126,30.211304859155124,0.48673169106442044,0.0016544152298592963,0.0019706006594060453,,36285,151.2158203125,49
R01_rsbfilm_env_absDelta,0,1.0265118741383874,30.044429323628055,0.4803591247520061,0.0024472128797788173,0.0019835700807743707,,36285,151.2158203125,46
R01_rsbfilm_env_absDelta,1,0.9961118460473802,30.172874782817185,0.4814158398313616,0.001544930240197573,0.0019685276910604444,,36285,151.2158203125,46
R01_rsbfilm_env_absDelta,2,0.9929573853058598,30.186572859288987,0.4840791901014977,0.0017025780762196518,0.001971874109294731,,36285,151.2158203125,37
R02_rsbfilm_env_maxPcycDelta,0,1.02295428728864,30.059013717776974,0.4806920569347136,0.002652248335070908,0.002133855900465278,,36285,151.2158203125,50
R02_rsbfilm_env_maxPcycDelta,1,0.9959902488864504,30.173512742689105,0.48171983012902087,0.0015384471649304032,0.001940134930628119,,36285,151.2158203125,49
R02_rsbfilm_env_maxPcycDelta,2,0.9930949405563677,30.186017200304626,0.48338566007153283,0.0015967541039572097,0.002364082008425612,,36285,151.2158203125,49
R03_rsbfilm_env_avgPcycDelta,0,1.0335072431995593,30.016115405199148,0.4762906545656868,0.0033933807420544328,0.001965313370747026,,36285,151.2158203125,43
R03_rsbfilm_env_avgPcycDelta,1,0.9923090371175719,30.1897053565976,0.4855936914517015,0.001668740596214775,0.001973852751107188,,36285,151.2158203125,37
R03_rsbfilm_env_avgPcycDelta,2,0.9842326365526383,30.22498412135104,0.48870572846825994,0.0016733956153620966,0.001941900190868182,,36285,151.2158203125,43
R04_rsbfilm_env_productPcycDelta,0,1.022631342095942,30.060750307533254,0.48204098689214275,0.002460416001267731,0.001934655739896698,,36285,151.2158203125,48
R04_rsbfilm_env_productPcycDelta,1,0.98620742213451,30.216470023710436,0.4891691720408025,0.0017385371922864579,0.0019403902406338602,,36285,151.2158203125,50
R04_rsbfilm_env_productPcycDelta,2,0.9944684164126791,30.179961371824152,0.48322320850583256,0.0017097833839943633,0.0019408387498697265,,36285,151.2158203125,48
R05_rsbfilm_env_softPcyc,0,1.0251519468803607,30.051326161857673,0.4824263398892335,0.00302777090575546,0.0019421028498618398,,36285,151.2158203125,46
R05_rsbfilm_env_softPcyc,1,0.9998273452693632,30.156646252604133,0.4791788817703167,0.001550973324046936,0.0019356563400651794,,36285,151.2158203125,47
R05_rsbfilm_env_softPcyc,2,0.992964279944036,30.186542233553865,0.4841163366836828,0.0017289907264057547,0.0019630020792828873,,36285,151.2158203125,46
F01_bounded_generic_film,0,1.028615374600147,30.035661725264717,0.47941201407877704,0.00241265767486766,0.0019309774400608148,,36285,151.0439453125,44
F01_bounded_generic_film,1,0.9997504524668099,30.157035145105514,0.47966488682874603,0.0015625720500247553,0.0019221339101204648,,36285,151.0439453125,47
F01_bounded_generic_film,2,0.9940828255680314,30.181728042782005,0.48355852870079546,0.0016450394378625787,0.0019055476486391854,,36285,151.0439453125,46
F02_residual_film_gate,0,0.9905755597187956,30.197065309086994,0.487808962686208,0.0019839110592147335,0.002158804929931648,,36701,153.47998046875,39
F02_residual_film_gate,1,1.012233872594192,30.10392376178676,0.4830478981276909,0.0024004528648220004,0.002168469180032844,,36701,153.47998046875,47
F02_residual_film_gate,2,0.9959080984642326,30.173671724947177,0.48091262384563854,0.001540290773846209,0.0021718182602489832,,36701,153.47998046875,42
F03_reference_surface_gated_film,0,0.9914587813905968,30.193159160713886,0.48534149284427647,0.0017211305347154847,0.0022441400407114996,,36701,154.59423828125,47
F03_reference_surface_gated_film,1,1.0147740449943121,30.09380855762057,0.4830748461664294,0.0028782318742014467,0.0022442201591911727,,36701,154.59423828125,45
F03_reference_surface_gated_film,2,0.9966308280971016,30.170512964363525,0.481879009808335,0.0017083528146031313,0.002248112289380515,,36701,154.59423828125,41
F04_dual_path_film,0,0.995679011752789,30.17479599047871,0.48312763745979687,0.0016626022045966237,0.0025018970397650262,,37533,155.20166015625,40
F04_dual_path_film,1,1.0095843259857498,30.12567189610799,0.4938547998770377,0.002308915067696944,0.0025251523686165454,,37533,155.20166015625,48
F04_dual_path_film,2,0.9862909065278974,30.217348952821247,0.49706919714288733,0.0022516155877383426,0.002528910890687257,,37533,155.20166015625,41
F05_delta_conditioned_film,0,1.0267172033026426,30.043345904634624,0.47978950649406293,0.0026427492452785373,0.0019808211199415383,,36285,151.2158203125,47
F05_delta_conditioned_film,1,0.9940225950063993,30.182025420766635,0.4831640878393388,0.001595417293428909,0.001970049920928432,,36285,151.2158203125,47
