variant,seed,n,support_masked_NMSE,foreground_MAE,background_MAE,high_delta_rho_support_NMSE,high_Pcyc_support_NMSE
F01_bounded_generic_film,0,100,0.9906402980382929,0.8296663492918015,0.000988553863717243,0.9909737366214076,0.9904989984241849
F01_bounded_generic_film,1,100,0.9972276369499404,0.8324649518728257,0.00013222567409684416,0.9973861646494594,0.9970871487403474
F01_bounded_generic_film,2,100,0.9912198334568119,0.8299196302890778,0.00021967777858662883,0.9920379560221793,0.991041044805321
F02_residual_film_gate,0,100,0.9861629938369929,0.827734288573265,0.000562712165992707,0.9872699151283041,0.986458205842371
F02_residual_film_gate,1,100,0.989702860340061,0.8292388993501664,0.000976668003713712,0.9900616849991729,0.9895580353865375
F02_residual_film_gate,2,100,0.9955551992718159,0.8317530769109726,0.0001114677868099534,0.9961442429302663,0.9954761923165901
F03_reference_surface_gated_film,0,100,0.9883624578983494,0.8287034684419632,0.00029756220799754374,0.9890865428214698,0.9888802124467948
F03_reference_surface_gated_film,1,100,0.9856806540800532,0.8274571794271469,0.001458518432918936,0.9854174927693495,0.9868382007973889
F03_reference_surface_gated_film,2,100,0.9957910063414463,0.831867441534996,0.00027936789061641323,0.9963319376823432,0.9955616984305112
F04_dual_path_film,0,100,0.9913248755960409,0.8299456840753555,0.00023677244775171857,0.9915839939150709,0.9918198100228208
F04_dual_path_film,1,100,0.955191099859491,0.8140640598535538,0.0009098146189353429,0.9617312435031328,0.9550944193600869
F04_dual_path_film,2,100,0.9588407203878152,0.8159755986928939,0.0008490222753607668,0.9630857366974418,0.9577604632829471
F05_delta_conditioned_film,0,100,0.9904376880865395,0.829586791396141,0.001219035008107312,0.9914980713492081,0.9902220472740407
F05_delta_conditioned_film,1,100,0.9906208189147279,0.8296801793575287,0.00016998573864839271,0.9918971606776165,0.9903317955642007
F05_delta_conditioned_film,2,100,0.9882948812905852,0.828680443763733,0.00019832549114653374,0.9890161080889007,0.9882895573709617
G00_generic_film_sincos_Pcyc,0,100,0.9854088589809139,0.8274147945642472,0.0015448453661520035,0.9855662699562866,0.9848283463408579
G00_generic_film_sincos_Pcyc,1,100,0.9906540282531238,0.82966825902462,0.00015680664982937743,0.9909329943012097,0.9909276038058746
G00_generic_film_sincos_Pcyc,2,100,0.9830728885718851,0.8264390081167221,0.00026488159666769205,0.9846546012382406,0.9835084166523472
G01_generic_film_scalar_Pcyc,0,100,0.9913956032766322,0.8299583423137665,0.0003778191351739224,0.9927570183097604,0.9904255113417543
G01_generic_film_scalar_Pcyc,1,100,0.9938873132845158,0.8310342156887054,0.0003760938458435703,0.9946472059628628,0.9939686168274988
G01_generic_film_scalar_Pcyc,2,100,0.9939112356049413,0.8310639435052871,0.0008735804312163964,0.9941494978840802,0.9939263986664142
R00_rsbfilm_sincos_env_absPcyc,0,100,0.9540043526216914,0.8138817292451859,0.001787539527285844,0.9571319376199233,0.9542282920530344
R00_rsbfilm_sincos_env_absPcyc,1,100,0.9942009568951261,0.8312140470743179,0.00013378979198023445,0.9944714150447216,0.9946889064254948
R00_rsbfilm_sincos_env_absPcyc,2,100,0.9845615341016797,0.8270779907703399,0.00023320104417507537,0.9859200238028089,0.9845421051021632
R01_rsbfilm_env_absDelta,0,100,0.9888286016422313,0.828896307349205,0.0010242921521421522,0.9899916591102683,0.9882755696695936
R01_rsbfilm_env_absDelta,1,100,0.9934739820595985,0.8308955955505372,0.00011725128046236932,0.9939584292119532,0.9935997274939697
R01_rsbfilm_env_absDelta,2,100,0.990992805188216,0.8298201006650925,0.00027717283184756523,0.9919515133147404,0.9909940231728123
R02_rsbfilm_env_maxPcycDelta,0,100,0.9900313216967169,0.8294140917062759,0.001228894985979423,0.9909463019750459,0.9901119460393923
R02_rsbfilm_env_maxPcycDelta,1,100,0.9927862341693899,0.8306016373634338,0.00011148097768455045,0.9932687198318141,0.9934524477709157
R02_rsbfilm_env_maxPcycDelta,2,100,0.990446889594874,0.8295656388998032,0.0001714429332059808,0.9923098815366087,0.9906019687548415
R03_rsbfilm_env_avgPcycDelta,0,100,0.9860890241091647,0.8277093374729156,0.001974051303695887,0.987226276092094,0.9856082868701843
R03_rsbfilm_env_avgPcycDelta,1,100,0.9848779480205667,0.8271990889310836,0.0002470656722289277,0.9849032805585651,0.9858328576892097
R03_rsbfilm_env_avgPcycDelta,2,100,0.9811088488553866,0.8255870312452316,0.0002549332598573528,0.9826319689568794,0.9812022852153887
R04_rsbfilm_env_productPcycDelta,0,100,0.9856218531660913,0.8275424730777741,0.0010397242387989536,0.9869561925912294,0.9856311490290218
R04_rsbfilm_env_productPcycDelta,1,100,0.9801822466622945,0.8252168291807175,0.00032119419644004664,0.9805429560247645,0.9810779729603236
R04_rsbfilm_env_productPcycDelta,2,100,0.9924988929191539,0.8304790902137756,0.00028293977797147816,0.9937995683857782,0.9925520959890914
R05_rsbfilm_env_softPcyc,0,100,0.9781342385551802,0.8242824828624725,0.0016132984042633324,0.9791891728194656,0.9777367782575819
R05_rsbfilm_env_softPcyc,1,100,0.998147782384506,0.8328790760040283,0.00011978564580203966,0.9982360617381266,0.9981698369395251
R05_rsbfilm_env_softPcyc,2,100,0.9913422675377668,0.8299279081821441,0.0003032578167039901,0.9912352152326059,0.9911504588175485
