variant,seed,parameter_count,peak_gpu_memory_mb,checkpoint_local
G00_generic_film_sincos_Pcyc,0,36285,149.568359375,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/G00_generic_film_sincos_Pcyc/seed_0/checkpoint_best.pt
G00_generic_film_sincos_Pcyc,1,36285,149.568359375,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/G00_generic_film_sincos_Pcyc/seed_1/checkpoint_best.pt
G00_generic_film_sincos_Pcyc,2,36285,149.568359375,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/G00_generic_film_sincos_Pcyc/seed_2/checkpoint_best.pt
G01_generic_film_scalar_Pcyc,0,36177,149.14501953125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/G01_generic_film_scalar_Pcyc/seed_0/checkpoint_best.pt
G01_generic_film_scalar_Pcyc,1,36177,149.14501953125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/G01_generic_film_scalar_Pcyc/seed_1/checkpoint_best.pt
G01_generic_film_scalar_Pcyc,2,36177,149.14501953125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/G01_generic_film_scalar_Pcyc/seed_2/checkpoint_best.pt
R00_rsbfilm_sincos_env_absPcyc,0,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R00_rsbfilm_sincos_env_absPcyc/seed_0/checkpoint_best.pt
R00_rsbfilm_sincos_env_absPcyc,1,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R00_rsbfilm_sincos_env_absPcyc/seed_1/checkpoint_best.pt
R00_rsbfilm_sincos_env_absPcyc,2,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R00_rsbfilm_sincos_env_absPcyc/seed_2/checkpoint_best.pt
R01_rsbfilm_env_absDelta,0,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R01_rsbfilm_env_absDelta/seed_0/checkpoint_best.pt
R01_rsbfilm_env_absDelta,1,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R01_rsbfilm_env_absDelta/seed_1/checkpoint_best.pt
R01_rsbfilm_env_absDelta,2,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R01_rsbfilm_env_absDelta/seed_2/checkpoint_best.pt
R02_rsbfilm_env_maxPcycDelta,0,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R02_rsbfilm_env_maxPcycDelta/seed_0/checkpoint_best.pt
R02_rsbfilm_env_maxPcycDelta,1,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R02_rsbfilm_env_maxPcycDelta/seed_1/checkpoint_best.pt
R02_rsbfilm_env_maxPcycDelta,2,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R02_rsbfilm_env_maxPcycDelta/seed_2/checkpoint_best.pt
R03_rsbfilm_env_avgPcycDelta,0,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R03_rsbfilm_env_avgPcycDelta/seed_0/checkpoint_best.pt
R03_rsbfilm_env_avgPcycDelta,1,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R03_rsbfilm_env_avgPcycDelta/seed_1/checkpoint_best.pt
R03_rsbfilm_env_avgPcycDelta,2,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R03_rsbfilm_env_avgPcycDelta/seed_2/checkpoint_best.pt
R04_rsbfilm_env_productPcycDelta,0,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R04_rsbfilm_env_productPcycDelta/seed_0/checkpoint_best.pt
R04_rsbfilm_env_productPcycDelta,1,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R04_rsbfilm_env_productPcycDelta/seed_1/checkpoint_best.pt
R04_rsbfilm_env_productPcycDelta,2,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R04_rsbfilm_env_productPcycDelta/seed_2/checkpoint_best.pt
R05_rsbfilm_env_softPcyc,0,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R05_rsbfilm_env_softPcyc/seed_0/checkpoint_best.pt
R05_rsbfilm_env_softPcyc,1,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R05_rsbfilm_env_softPcyc/seed_1/checkpoint_best.pt
R05_rsbfilm_env_softPcyc,2,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R05_rsbfilm_env_softPcyc/seed_2/checkpoint_best.pt
F01_bounded_generic_film,0,36285,151.0439453125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F01_bounded_generic_film/seed_0/checkpoint_best.pt
F01_bounded_generic_film,1,36285,151.0439453125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/F01_bounded_generic_film/seed_1/checkpoint_best.pt
