variant,seed,runtime_per_sample,speedup_vs_BP
G00_generic_film_sincos_Pcyc,0,0.002016861700685695,
G00_generic_film_sincos_Pcyc,1,0.001778583839914063,
G00_generic_film_sincos_Pcyc,2,0.0017474678695725743,
G01_generic_film_scalar_Pcyc,0,0.0017704233594122343,
G01_generic_film_scalar_Pcyc,1,0.00216146481980104,
G01_generic_film_scalar_Pcyc,2,0.0017780616211530286,
R00_rsbfilm_sincos_env_absPcyc,0,0.001959408340335358,
R00_rsbfilm_sincos_env_absPcyc,1,0.0019552557895076463,
R00_rsbfilm_sincos_env_absPcyc,2,0.0019706006594060453,
R01_rsbfilm_env_absDelta,0,0.0019835700807743707,
R01_rsbfilm_env_absDelta,1,0.0019685276910604444,
R01_rsbfilm_env_absDelta,2,0.001971874109294731,
R02_rsbfilm_env_maxPcycDelta,0,0.002133855900465278,
R02_rsbfilm_env_maxPcycDelta,1,0.001940134930628119,
R02_rsbfilm_env_maxPcycDelta,2,0.002364082008425612,
R03_rsbfilm_env_avgPcycDelta,0,0.001965313370747026,
R03_rsbfilm_env_avgPcycDelta,1,0.001973852751107188,
R03_rsbfilm_env_avgPcycDelta,2,0.001941900190868182,
R04_rsbfilm_env_productPcycDelta,0,0.001934655739896698,
R04_rsbfilm_env_productPcycDelta,1,0.0019403902406338602,
R04_rsbfilm_env_productPcycDelta,2,0.0019408387498697265,
R05_rsbfilm_env_softPcyc,0,0.0019421028498618398,
R05_rsbfilm_env_softPcyc,1,0.0019356563400651794,
R05_rsbfilm_env_softPcyc,2,0.0019630020792828873,
F01_bounded_generic_film,0,0.0019309774400608148,
F01_bounded_generic_film,1,0.0019221339101204648,
F01_bounded_generic_film,2,0.0019055476486391854,
F02_residual_film_gate,0,0.002158804929931648,
F02_residual_film_gate,1,0.002168469180032844,
F02_residual_film_gate,2,0.0021718182602489832,
F03_reference_surface_gated_film,0,0.0022441400407114996,
F03_reference_surface_gated_film,1,0.0022442201591911727,
F03_reference_surface_gated_film,2,0.002248112289380515,
F04_dual_path_film,0,0.0025018970397650262,
F04_dual_path_film,1,0.0025251523686165454,
F04_dual_path_film,2,0.002528910890687257,
F05_delta_conditioned_film,0,0.0019808211199415383,
F05_delta_conditioned_film,1,0.001970049920928432,
F05_delta_conditioned_film,2,0.001955758380063344,
