variant,seed,status,best_epoch,best_val_l1,parameter_count,peak_gpu_memory_mb,checkpoint_local
G00_generic_film_sincos_Pcyc,0,trained,44,0.003556443826080515,36285,149.568359375,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/G00_generic_film_sincos_Pcyc/seed_0/checkpoint_best.pt
G00_generic_film_sincos_Pcyc,1,trained,32,0.001532032114202873,36285,149.568359375,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/G00_generic_film_sincos_Pcyc/seed_1/checkpoint_best.pt
G00_generic_film_sincos_Pcyc,2,trained,50,0.0016072148439259483,36285,149.568359375,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/G00_generic_film_sincos_Pcyc/seed_2/checkpoint_best.pt
G01_generic_film_scalar_Pcyc,0,trained,41,0.001862290440700375,36177,149.14501953125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/G01_generic_film_scalar_Pcyc/seed_0/checkpoint_best.pt
G01_generic_film_scalar_Pcyc,1,trained,49,0.002392089280944604,36177,149.14501953125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/G01_generic_film_scalar_Pcyc/seed_1/checkpoint_best.pt
G01_generic_film_scalar_Pcyc,2,trained,45,0.003679374698549509,36177,149.14501953125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/G01_generic_film_scalar_Pcyc/seed_2/checkpoint_best.pt
R00_rsbfilm_sincos_env_absPcyc,0,trained,50,0.0035381157201929735,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R00_rsbfilm_sincos_env_absPcyc/seed_0/checkpoint_best.pt
R00_rsbfilm_sincos_env_absPcyc,1,trained,46,0.001498946024534794,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R00_rsbfilm_sincos_env_absPcyc/seed_1/checkpoint_best.pt
R00_rsbfilm_sincos_env_absPcyc,2,trained,49,0.0016193652722554712,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R00_rsbfilm_sincos_env_absPcyc/seed_2/checkpoint_best.pt
R01_rsbfilm_env_absDelta,0,trained,46,0.003385701198847248,36285,151.2158203125,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031/checkpoints/R01_rsbfilm_env_absDelta/seed_0/checkpoint_best.pt
