table_method,method,seed,sample_id,family,NMSE,PSNR,SSIM,MAE,runtime_per_sample,network_runtime_per_sample,end_to_end_runtime_per_sample,source
T01_BP,BP,0,line_test_0000,line,2.2823657150261427,27.257161231875642,0.38538562196795195,0.005425859242677689,2.270303390920162,,2.270303390920162,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,line_test_0001,line,0.8577826717100119,26.576451640923803,0.5512713983864614,0.007646769750863314,2.8481314938981086,,2.8481314938981086,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,line_test_0002,line,2.3533391217073887,26.48545524166915,0.33156342463012606,0.00656265439465642,1.3091596979647875,,1.3091596979647875,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,line_test_0003,line,2.6694806575613543,29.646847224166866,0.4582922140345935,0.004059819504618645,2.044884247938171,,2.044884247938171,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,line_test_0004,line,4.674482262443298,29.941071471111794,0.46295104589883046,0.003568946849554777,1.4630442659836262,,1.4630442659836262,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,line_test_0005,line,2.415883129590521,28.58625154963443,0.46852065294969913,0.004289555829018354,1.4789664240088314,,1.4789664240088314,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,line_test_0006,line,1.2049081516070463,30.789501737423116,0.6198315626894746,0.0028437206055969,2.979048114968464,,2.979048114968464,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,line_test_0007,line,2.272035166831806,26.22475187566105,0.33109082807817525,0.00753936218097806,2.2889845450408757,,2.2889845450408757,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,line_test_0008,line,0.7834916028802437,26.88040252091412,0.5765818227718844,0.007030543405562639,1.2960890280082822,,1.2960890280082822,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,line_test_0009,line,1.4814280591788933,28.50001400107207,0.46573008082662937,0.004495170433074236,1.9181896748486906,,1.9181896748486906,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
T01_BP,BP,0,line_test_0010,line,2.053149034020431,29.29547069644673,0.5058554088963453,0.003818037686869502,2.6610709810629487,,2.6610709810629487,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_006d_800_formal/20260419_112717/mainline_vs_baselines_metrics.json
