sample_id,family,runtime_sec,active_measurement_count,reconstructed_voxels,x_size,y_size,z_size,n_fft,voxel_chunk,measurement_chunk,normalization
line_test_0000,line,1.0949944090098143,8953,455,13,7,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0001,line,2.0482998180086724,13540,1014,13,13,6,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0002,line,0.6566685870056972,6100,715,11,13,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0003,line,0.9609412330028135,9350,605,11,11,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0004,line,0.6847819719987456,7130,495,11,9,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0005,line,0.5786404020036571,6092,486,9,9,6,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0006,line,1.1506183109886479,13764,330,5,11,6,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0007,line,1.0119916489929892,8833,845,13,13,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0008,line,0.7107566660270095,6036,858,13,11,6,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0009,line,0.9330369849922135,9330,605,11,11,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0010,line,0.9078813369851559,10403,385,7,11,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0011,line,0.7046165920037311,6104,845,13,13,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0012,line,0.9529886580130551,9791,495,11,9,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0013,line,0.7091244459734298,6478,726,11,11,6,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0014,line,0.45107592502608895,4876,495,9,11,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0015,line,0.48348530000657775,5596,405,9,9,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0016,line,1.132240859005833,8208,825,15,11,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0017,line,0.6801464349846356,4780,726,11,11,6,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0018,line,0.8511114450229798,6985,525,7,15,5,4096,384,512,independent peak normalization after fitting to 24^3
line_test_0019,line,0.8180886819900479,6423,605,11,11,5,4096,384,512,independent peak normalization after fitting to 24^3
cross_test_0000,cross,0.7749741029983852,6124,726,11,11,6,4096,384,512,independent peak normalization after fitting to 24^3
cross_test_0001,cross,0.9374841440003365,7543,1014,13,13,6,4096,384,512,independent peak normalization after fitting to 24^3
