sample_id,family,runtime_sec,active_measurement_count,reconstructed_voxels,x_size,y_size,z_size,num_freq,voxel_chunk,measurement_chunk,phase_convention,normalization
line_test_0000,line,17.887677035992965,8953,455,13,7,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
line_test_0001,line,57.65398354199715,13540,1014,13,13,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
line_test_0002,line,18.315837601025123,6100,715,11,13,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
line_test_0003,line,23.660176725999918,9350,605,11,11,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
line_test_0004,line,14.843800455040764,7130,495,11,9,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
line_test_0005,line,12.53548147395486,6092,486,9,9,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
line_test_0006,line,19.1661116820178,13764,330,5,11,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
line_test_0007,line,31.713391695986502,8833,845,13,13,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
line_test_0008,line,21.885043855989352,6036,858,13,11,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
line_test_0009,line,25.000098777003586,9330,605,11,11,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
line_test_0010,line,17.35148835799191,10403,385,7,11,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
line_test_0011,line,21.84770258498611,6104,845,13,13,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
line_test_0012,line,20.38874697603751,9791,495,11,9,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
line_test_0013,line,19.908726540976204,6478,726,11,11,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
line_test_0014,line,10.078747060964815,4876,495,9,11,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
line_test_0015,line,9.55858532601269,5596,405,9,9,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
line_test_0016,line,28.61892340099439,8208,825,15,11,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
line_test_0017,line,14.503487018984742,4780,726,11,11,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
line_test_0018,line,15.409735745983198,6985,525,7,15,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
line_test_0019,line,16.43633650697302,6423,605,11,11,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
cross_test_0000,cross,18.671912351972423,6124,726,11,11,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
cross_test_0001,cross,33.16778026201064,7543,1014,13,13,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
cross_test_0002,cross,16.920545729983132,5359,726,11,11,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
cross_test_0003,cross,40.59329572803108,9421,1014,13,13,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
cross_test_0004,cross,31.113765763002448,8489,858,11,13,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
cross_test_0005,cross,26.140032863011584,6105,1014,13,13,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
cross_test_0006,cross,14.560733573976904,7001,486,9,9,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
cross_test_0007,cross,16.018836992036086,7712,486,9,9,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
cross_test_0008,cross,21.523540835012682,5963,858,11,13,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
cross_test_0009,cross,14.403103599965107,6973,486,9,9,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
cross_test_0010,cross,37.47081501199864,15318,585,9,13,5,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
cross_test_0011,cross,26.95133456599433,6394,1014,13,13,6,181,128,64,"exact sum y(a,h,k) * exp(+j*k*R(a,h,p)) over active sparse measurements and all frequencies",independent peak normalization after fitting to 24^3
