method_id,table_label,ood_split,seed,num_samples,NMSE_mean,PSNR_mean,SSIM_mean,MAE_mean,network_runtime_per_sample,end_to_end_runtime_per_sample,source,notes
O00_ref3,ref3,Leave-One-Family-Out OOD,none,100,6.70495840641621,23.634634061604924,0.12995631577621114,0.014703152142465115,0.0,0.3842128359901835,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner,physical ref3 backbone; no learned seed
O00_ref3,ref3,Random-ET OOD,none,100,7.052401588815247,22.266168891598433,0.06528781126792996,0.039266296420246365,0.0,1.6779991902002802,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner,physical ref3 backbone; no learned seed
O00_ref3,ref3,Unseen-Parameter OOD,none,100,2.8961048564352536,22.944418222019994,0.1962373432940356,0.01471849123481661,0.0,0.5474259072697533,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner,physical ref3 backbone; no learned seed
O01_ref3_residual_UNet,ref3 + residual U-Net,Leave-One-Family-Out OOD,0,100,2.2038553983535802,28.297116334113525,0.39762457557190783,0.004953533115331084,0.0010790022200308157,0.3351002456392962,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner,reused S02_plain_residual_unet checkpoints from 001b
O01_ref3_residual_UNet,ref3 + residual U-Net,Leave-One-Family-Out OOD,1,100,1.0302500799593464,31.364087011854625,0.5620039789296833,0.0020900708774570374,0.0008965415300917812,0.33491778494935714,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner,reused S02_plain_residual_unet checkpoints from 001b
O01_ref3_residual_UNet,ref3 + residual U-Net,Leave-One-Family-Out OOD,2,100,0.9955858069099809,31.510635879882123,0.5608769043761986,0.0011057649774011225,0.0008997607000856079,0.334921004119351,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner,reused S02_plain_residual_unet checkpoints from 001b
O01_ref3_residual_UNet,ref3 + residual U-Net,Random-ET OOD,0,100,1.9768544946807447,26.87082443912118,0.26893143559414695,0.009889245312660933,0.0010790022200308157,0.3351002456392962,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner,reused S02_plain_residual_unet checkpoints from 001b
O01_ref3_residual_UNet,ref3 + residual U-Net,Random-ET OOD,1,100,1.4522004873109433,28.032241620684896,0.3413631448434796,0.007036268438678234,0.0008965415300917812,0.33491778494935714,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner,reused S02_plain_residual_unet checkpoints from 001b
O01_ref3_residual_UNet,ref3 + residual U-Net,Random-ET OOD,2,100,1.279119820332775,28.44785162441829,0.3650785682134039,0.006015206428710371,0.0008997607000856079,0.334921004119351,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner,reused S02_plain_residual_unet checkpoints from 001b
O01_ref3_residual_UNet,ref3 + residual U-Net,Unseen-Parameter OOD,0,100,1.3988137517236425,25.685762531277714,0.31943048388238293,0.006416929876431823,0.0010790022200308157,0.3351002456392962,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner,reused S02_plain_residual_unet checkpoints from 001b
O01_ref3_residual_UNet,ref3 + residual U-Net,Unseen-Parameter OOD,1,100,0.988083025618192,27.046821362739806,0.32216080695246213,0.003106342589017004,0.0008965415300917812,0.33491778494935714,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner,reused S02_plain_residual_unet checkpoints from 001b
O01_ref3_residual_UNet,ref3 + residual U-Net,Unseen-Parameter OOD,2,100,0.9959441004623045,27.011909263702748,0.3030496574798628,0.0024550961377099154,0.0008997607000856079,0.334921004119351,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner,reused S02_plain_residual_unet checkpoints from 001b
