method_id,table_label,ood_split,num_seeds,num_samples,NMSE_mean,NMSE_std,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,MAE_mean,MAE_std,network_runtime_per_sample_mean,end_to_end_runtime_per_sample_mean,source,notes
O00_ref3,ref3,Leave-One-Family-Out OOD,1,100,6.70495840641621,0.0,23.634634061604924,0.0,0.12995631577621114,0.0,0.014703152142465115,0.0,0.0,0.3842128359901835,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner,physical ref3 backbone; no learned seed
O00_ref3,ref3,Random-ET OOD,1,100,7.052401588815247,0.0,22.266168891598433,0.0,0.06528781126792996,0.0,0.039266296420246365,0.0,0.0,1.6779991902002802,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner,physical ref3 backbone; no learned seed
O00_ref3,ref3,Unseen-Parameter OOD,1,100,2.8961048564352536,0.0,22.944418222019994,0.0,0.1962373432940356,0.0,0.01471849123481661,0.0,0.0,0.5474259072697533,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner,physical ref3 backbone; no learned seed
O01_ref3_residual_UNet,ref3 + residual U-Net,Leave-One-Family-Out OOD,3,100,1.4098970950743026,0.5615916330490762,30.390613075283426,1.481534249046525,0.5068351529592633,0.07722491063649493,0.0027164563233964146,0.0016320945552634207,0.0009584348167360683,0.33497967823600144,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner,reused S02_plain_residual_unet checkpoints from 001b
O01_ref3_residual_UNet,ref3 + residual U-Net,Random-ET OOD,3,100,1.569391600774821,0.29665775651755616,27.78363922807479,0.6673859692862072,0.32512438288367684,0.04089695033631562,0.00764690672668318,0.0016394518713426624,0.0009584348167360683,0.33497967823600144,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner,reused S02_plain_residual_unet checkpoints from 001b
O01_ref3_residual_UNet,ref3 + residual U-Net,Unseen-Parameter OOD,3,100,1.127613625934713,0.19179430004629888,26.58149771924009,0.6335407689487642,0.31488031610490264,0.00843947188882589,0.003992789534386247,0.0017346224917898128,0.0009584348167360683,0.33497967823600144,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_001b_full_structure_diagnosis/20260515_001000_fullrunner,reused S02_plain_residual_unet checkpoints from 001b
O02_ref3_metadata_generic_FiLM,ref3 + metadata + generic FiLM,Leave-One-Family-Out OOD,3,100,1.005911410049717,0.01852326858938314,31.466688026289024,0.07933761926616335,0.559516864688241,0.004964013019910686,0.0017117752484045923,0.0007163918304470521,0.0018476378033907774,0.3358688812226562,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031,reused G00_generic_film_sincos_Pcyc checkpoints from 002b
O02_ref3_metadata_generic_FiLM,ref3 + metadata + generic FiLM,Random-ET OOD,3,100,1.1565180152641843,0.06505583272082853,28.736958490349387,0.21934289324392303,0.3756087426324893,0.03708432637625027,0.005838170579324166,0.0022183314721073927,0.0018476378033907774,0.3358688812226562,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031,reused G00_generic_film_sincos_Pcyc checkpoints from 002b
O02_ref3_metadata_generic_FiLM,ref3 + metadata + generic FiLM,Unseen-Parameter OOD,3,100,0.992990096043064,0.008436642825411388,27.02500585597473,0.03685451048142173,0.3118805837960209,0.003255234844068208,0.0030254188536976774,0.0006147957921797117,0.0018476378033907774,0.3358688812226562,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031,reused G00_generic_film_sincos_Pcyc checkpoints from 002b
O03_ref3_metadata_RSB_FiLM_R04,ref3 + metadata + RSB-FiLM R04,Leave-One-Family-Out OOD,3,100,1.0035349600832755,0.01496804362242248,31.476682535816376,0.06436436394597747,0.5619782482111464,0.0030285831360372015,0.0016307832789607345,0.0004360735860374327,0.0019386282434667615,0.3359598716627321,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031,reused R04_rsbfilm_env_productPcycDelta checkpoints from 002b
O03_ref3_metadata_RSB_FiLM_R04,ref3 + metadata + RSB-FiLM R04,Random-ET OOD,3,100,1.1567041819214818,0.05122574615236815,28.747911212053605,0.1284164006488458,0.3856162292140251,0.008791164872007122,0.00539468397696813,0.0007111765097615651,0.0019386282434667615,0.3359598716627321,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031,reused R04_rsbfilm_env_productPcycDelta checkpoints from 002b
O03_ref3_metadata_RSB_FiLM_R04,ref3 + metadata + RSB-FiLM R04,Unseen-Parameter OOD,3,100,0.993285768067938,0.00849817133462778,27.02372358395605,0.03722259117070584,0.3113315259430865,0.004025150568559145,0.0029115907001929977,0.00033028001273054065,0.0019386282434667615,0.3359598716627321,/home/superws/2026_Projects/Codex_reference_plane_real/exp/task_real_struc_002b_film_variant_search/20260516_104031,reused R04_rsbfilm_env_productPcycDelta checkpoints from 002b
