ood_split,main_ref3_runtime_used_for_table,ood_measured_ref3_runtime,method_id,network_runtime_per_sample_mean,end_to_end_runtime_per_sample_mean
Leave-One-Family-Out OOD,0.33402124341926537,0.3842128359901835,,,
Random-ET OOD,0.33402124341926537,1.6779991902002802,,,
Unseen-Parameter OOD,0.33402124341926537,0.5474259072697533,,,
Leave-One-Family-Out OOD,,,O00_ref3,0.0,0.3842128359901835
Random-ET OOD,,,O00_ref3,0.0,1.6779991902002802
Unseen-Parameter OOD,,,O00_ref3,0.0,0.5474259072697533
Leave-One-Family-Out OOD,,,O01_ref3_residual_UNet,0.0009584348167360683,0.33497967823600144
Random-ET OOD,,,O01_ref3_residual_UNet,0.0009584348167360683,0.33497967823600144
Unseen-Parameter OOD,,,O01_ref3_residual_UNet,0.0009584348167360683,0.33497967823600144
Leave-One-Family-Out OOD,,,O02_ref3_metadata_generic_FiLM,0.0018476378033907774,0.3358688812226562
Random-ET OOD,,,O02_ref3_metadata_generic_FiLM,0.0018476378033907774,0.3358688812226562
Unseen-Parameter OOD,,,O02_ref3_metadata_generic_FiLM,0.0018476378033907774,0.3358688812226562
Leave-One-Family-Out OOD,,,O03_ref3_metadata_RSB_FiLM_R04,0.0019386282434667615,0.3359598716627321
Random-ET OOD,,,O03_ref3_metadata_RSB_FiLM_R04,0.0019386282434667615,0.3359598716627321
Unseen-Parameter OOD,,,O03_ref3_metadata_RSB_FiLM_R04,0.0019386282434667615,0.3359598716627321
